Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75019,,,,4,,1,3,,,3,6,3,4,11,,1,5,,1,,17,,16,17,,,,2,,5,,,6,7,,,,1,5,,,,,,2,3,,3,,1,1,,,1,,,,1,,,,,2,,,2,,23,,,5,3,6,,,,204,79,37,84,,4,7,,2,1,3,,,,2,2,7,,,603
75020,,,,,,,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,1,8,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,27
75021,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,9
75022,1,,,6,1,,2,,,4,6,2,1,2,3,3,2,,2,,6,,13,13,,,,4,,1,,,4,4,,,1,,3,,,,,1,,1,,,1,1,,,,1,,,,,1,,,,,,,1,,20,,,2,2,6,,,,126,78,35,53,1,,7,,1,,,,,,,1,6,,,429
75023,,,,1,,1,1,,,3,3,,1,5,1,,4,1,1,,6,1,23,6,,,,4,,4,,1,8,1,,,,1,1,,,,,,,2,,,1,,1,,,,,1,,,,,,,,2,1,2,,27,,,1,2,,,,,75,26,9,20,,4,6,,2,2,4,,,,,1,1,,,268
75024,,1,,9,1,2,3,,,3,11,,3,5,5,1,11,,,1,9,,15,7,,,,5,1,1,,1,7,5,,1,,,6,,,,,1,,4,,1,1,,,,1,2,,,1,1,,1,,,1,,1,,,27,,,6,5,7,,,,262,83,53,79,1,3,35,,11,,5,,,,,2,4,,,712
75025,,1,,3,,1,,,,3,12,,2,6,5,2,5,,,,9,1,27,5,,,,6,,4,,2,8,3,,,,,12,,1,1,,,,4,,1,,,,,,,,,1,3,,,,,,1,,1,,31,,,7,4,1,2,,,235,64,27,95,,4,8,,4,1,4,2,,,1,1,6,,,627
75028,,,1,3,,2,4,,,6,8,,2,9,1,1,3,1,1,,19,2,22,7,,,,5,,10,,,12,6,,,,,2,,,1,,1,1,7,,3,,1,,1,,,,,,,,1,,,,2,,1,,23,2,,2,4,2,1,,,146,53,18,52,,3,5,1,,,2,,1,,1,1,6,,,469
75029,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75032,,,,2,1,1,,,,2,1,,2,5,2,,1,,3,1,7,1,9,8,,,,1,,3,,,6,8,,1,1,,2,,,,,,,6,1,1,1,,1,,,3,,,,,,,,,,1,,,,6,,,2,4,8,,,,67,42,25,26,,1,6,,,1,3,,,,,,1,,,274
75033,,,,3,,2,4,,,5,5,1,4,2,3,1,10,,,,3,,12,5,,,,2,,3,,,10,8,,,1,,10,,,,,,1,8,1,,,1,1,,,,,1,2,1,,2,,,,1,,,,11,2,,6,3,7,,,,189,90,52,106,1,3,2,1,3,1,3,,,,,3,4,,,600
75034,3,1,1,10,2,3,3,,,9,16,1,4,7,7,2,18,,,,6,2,14,10,,,,2,1,4,,2,9,8,,,,,7,,,,,,1,14,,1,1,,,,,3,,,1,1,,,,,2,,,,,29,2,,7,8,21,,,,249,142,78,108,1,7,12,,2,2,4,,1,,2,1,13,,,865
75035,1,,,18,,3,3,,,8,20,2,6,11,4,3,20,,1,1,20,1,32,22,,,,7,,5,,1,13,16,,,,,8,,3,,,1,1,10,,,,,1,,,2,,1,,1,,,,,2,3,,2,,49,1,,5,3,9,,,,492,124,93,197,3,12,17,,2,4,8,,,,3,2,5,,,1282
75036,2,,,5,,,1,,,4,6,1,2,5,,1,3,,1,,4,,7,3,,,,2,,,,,3,7,,,1,,4,,,,,,,3,,,1,,,,,1,,,,,,,,,,,,1,,5,,,5,2,3,,,,194,32,40,102,,1,9,,1,,5,1,,,,,9,,,477
75038,2,,,,,,1,,,,2,,1,2,2,,2,,,,8,,4,173,,,,1,1,3,,,,1,,,,,2,,,,,,,1,,11,,,,,,,,,1,,,,,,,,,,,10,70,,3,1,9,,,,45,21,16,25,,,1,,1,,1,,,,,,2,,,423
75039,,,,3,,,,,,7,6,,3,,2,2,3,1,1,1,1,,13,6,,,,2,1,,,,2,3,,,,,3,,,,,,,2,,1,,,,1,1,,,,1,,,,,,,,,2,,6,,,5,,3,,,,136,44,25,46,1,1,6,,1,,1,,,,,2,1,,,346
75040,,,,1,,,,,,,,,1,3,,,3,,,,7,1,15,2,,,,1,,1,,,4,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,40,7,,4,,2,1,,2,,3,,,,,,,,,114
