Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75019,,,,4,,1,4,,,3,9,3,3,10,,,,1,10,,1,,13,,17,17,,,,2,,4,,,,6,7,,,,1,5,,1,,,,,,,2,5,,2,5,2,1,1,,,1,,,,,,1,1,,,,,2,1,,3,,21,1,,5,3,7,,,,,,234,91,38,119,,4,9,,4,1,4,,,,,3,3,16,,,712
75020,,,,,,,,,,,1,,,,,,,,,,,,2,,3,,,,,,,,,,1,7,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,3,1,3,,,,,,,,,,,,,1,,,,34
75021,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7
75022,1,,,6,1,,3,,,4,6,1,1,3,,3,,3,3,,2,,6,,12,11,,,,4,,1,,,,5,7,,,1,,3,2,1,,,,,1,,1,3,,,1,1,1,,,,1,,,,1,,,,1,,,,,,,1,,21,,,2,2,8,1,,,,,134,86,36,66,1,,7,,1,,2,1,,,,1,1,7,,,479
75023,,,,2,,,1,,,3,3,,1,5,1,,,,5,1,1,,6,1,21,6,,,,4,,5,,,1,7,1,,,,1,1,,1,,,,,,,,2,,4,1,1,,1,,,,1,,,1,,,1,,,,,,2,1,2,,25,2,,2,2,,,,,,,84,28,11,30,,5,7,,2,1,4,,,,,1,1,2,,,302
75024,,1,,9,2,3,2,,,3,10,,4,4,,6,,1,15,,,1,7,,16,7,,,,4,1,,,,1,6,7,,1,,,6,3,,,,,,1,,1,5,,1,1,2,,1,,1,2,,1,,,1,1,1,,1,,,1,1,1,1,,27,,,4,3,8,,,,,,286,105,56,103,1,3,45,,9,,6,,,,,1,4,4,,,809
75025,,1,,3,1,,1,,,5,13,,2,5,,5,,,6,,,,5,1,25,5,,,,7,,3,,,2,8,7,,,,,12,,,,,1,,,,,5,,1,2,,,,,,,,,,,1,1,3,,,,,,1,,1,,30,1,,7,4,2,,2,,,,260,69,28,123,,3,9,,4,1,4,,2,,,1,4,6,,,693
75028,,,,5,1,2,5,,,7,11,1,3,8,,1,,,2,1,2,,19,2,21,6,,,,4,,9,1,,,11,10,,,,,2,1,1,,,1,,1,,1,9,,3,3,,1,1,1,,1,,,,,,1,,,1,,,,2,,2,,26,3,,3,4,2,,,,,,165,60,20,72,,3,5,1,,,3,,,1,,2,,6,,,540
75029,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4
75032,,,,2,1,,1,,,2,2,,2,5,,,,,3,,2,1,6,1,9,8,,,,1,,3,,,,6,11,,1,1,,2,,1,,,,,,,,7,1,,1,1,,1,,,4,1,1,,,,,,,,,,,1,,,,7,1,,2,4,7,,,,,,67,46,25,34,,1,6,,,1,3,,,,,,,2,,,295
75033,,,,6,,3,2,,,5,5,1,5,3,,5,,1,8,,,,4,,13,9,,,,2,,3,,,,10,9,,,,,10,,2,,,,,,,1,12,1,1,,,1,2,,,2,,,,1,2,1,1,,2,,,,1,,,,13,3,,7,4,8,,,,,,204,99,59,147,1,3,4,1,5,1,6,,,,,,3,6,,,708
75034,3,1,1,15,2,4,2,,1,12,17,1,3,8,,8,,2,22,,,,6,3,13,9,,,,2,1,4,,1,2,10,11,,,,,8,2,1,,,,,,,3,22,,1,2,1,,,,,3,,1,,,1,4,1,,,,,1,1,,,,30,2,,8,6,20,,,,,,292,156,87,164,1,8,13,,5,2,5,,1,1,,1,2,15,,,1035
75035,1,,,19,,2,4,,,8,20,2,7,10,,5,,2,29,,1,1,20,1,34,25,,,,7,,6,1,,1,11,20,,,,,8,,1,,3,,,1,,1,14,,7,2,1,,3,,,3,,1,,1,1,3,1,,,,,2,3,,4,,50,6,,5,3,13,2,,,,,557,140,97,301,4,13,18,,4,5,10,,1,,,3,4,11,,,1544
75036,2,,,5,2,,1,,,5,7,1,3,5,,,,,6,,,,4,,9,4,,,,2,,,,,,4,11,,,,,4,,,,,,,,,,5,,1,,1,,,,,2,,,,,,1,,,,,,,,,1,,7,1,,5,2,3,,,,,,210,40,44,127,,1,8,,2,,7,,1,,,,,9,,,553
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75038,1,,,,,,1,,,,2,,2,2,,3,,,4,,,,8,,3,216,,,,1,1,3,,,,,1,,,,,1,,,,,,,,,,2,,,11,,,,,,1,,,,,1,,,,,,,,,,10,,11,71,,1,1,10,,,,,,57,22,19,33,,,1,,2,,1,,,,,,,2,,,505
75039,,,,7,,1,,,,8,5,,2,,,2,,1,3,1,1,1,1,,11,6,,,,2,1,,1,,,2,5,,,,,2,,2,,,,,,,,3,,,1,2,,,1,1,1,,,,,1,,,,,,,,1,,2,,6,,,4,1,4,,,,,,141,46,26,69,1,,5,,1,,2,,1,,,,3,1,,,389
75040,,,,1,,,,,,,1,,1,2,,,,,3,,,,6,1,16,2,,,,1,,1,,,,4,1,,,,,3,,,,,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,1,,,,47,8,1,12,,2,1,,2,,5,,,,,,,,,,138
75041,,,,,,,,,,,,,,2,,2,,,,,1,,3,,2,2,,,,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,4,2,1,3,,,1,,,,,,,,,,,1,,,35
75042,,,,,,,,,,,,,2,1,,,,,,,,,,,4,1,,,,,,,,,,3,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,18,6,1,5,,1,3,,,,,,,,,1,,,,,55
75043,,,,,,,,,,1,3,,1,4,,,,,,1,1,1,5,,6,4,,,,1,,2,,,,3,2,,,,,1,,,,,,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,7,,,,,2,,,,,,43,13,6,23,,,4,,,,1,,,,,,,1,,,144
75044,,,,5,,,1,,,1,2,,3,2,,4,,,1,,,1,6,,12,2,,,,2,,3,,,,3,4,,,,1,4,,2,,,,,,,,3,,1,,,,,2,,,,1,,,,,,,,,,,,1,,,16,2,,1,,1,,,,,,100,18,11,30,,,8,1,1,,3,,,,,2,1,1,,,263
75045,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,2,,,1,,,,,,1,2,,1,,,2,,,,4,,10,3,,,,2,,,,,,4,2,,,,,3,,,,,,,,,,1,,2,2,,,,,,,1,,,,,,,,,,,,,,,,9,1,,,,1,,,,,,63,17,10,28,,2,4,,3,,1,,,,,,1,,,,184
75050,,,,,1,,1,,,1,2,,,1,,,,,,,1,,3,,7,,,,,2,,2,1,,,2,4,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,4,,,1,,1,,,,,,23,13,2,2,,,1,,,,,,,,,,,,,,79
75051,,,,1,,,2,,,,2,,4,3,,,,,1,,,,3,,9,,,,,1,,2,,,,6,1,,,,,,,,,,,,1,,,2,,,,,1,,,,1,,,,2,1,,1,,,,,,,,,,5,,,1,2,1,,,,,,32,20,11,13,,1,2,,,1,,,,,,,,1,,,134
75052,,,,1,,,,,,12,7,,1,2,,4,,,2,1,1,1,7,,13,4,,,,,,3,,,1,7,2,,,,,1,,,,,2,,,,,7,,1,1,,,1,,,,,,,,1,,,,1,,,,,,1,,16,1,,,,3,,2,,,,98,30,11,34,,,8,,1,,3,,,,,,,1,,,293
75054,,,,2,,,1,,,3,2,,,1,,3,,1,1,,,1,,,6,3,,,,,,1,,,1,1,1,,,,,3,,1,,,,,,,,3,,1,2,1,,,,,,,,,,,,2,,,,,,,,,,11,1,,1,1,1,,,,,,55,22,19,24,,,3,,,1,1,,1,,,,,,,,182
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75056,1,,1,3,1,1,1,,,4,10,2,2,5,,4,,,6,1,1,,13,1,26,15,,,,1,,7,,,,7,15,,,1,,3,,,,,,,1,,1,7,,1,1,1,,,1,,1,,,,,1,,,,,,,1,,,2,,26,1,,5,4,13,1,3,,,,234,74,53,152,,2,9,,3,,5,,,1,,2,4,5,,,747
75057,,,,,,,,,,1,1,,,,,1,,,,,,,1,,3,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,11,8,1,5,,,1,,1,,1,,,,,,,,,,50
75058,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,5,1,5,,,1,,,,,,,,,,,,,,24
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,,1,1,,,1,,,,1,,,,,4,,6,,,,,1,,1,,,,1,,,,,,1,,1,,,,,2,,,1,,,1,3,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,23,6,4,13,,,5,,,,,,,,,1,,,,,83
75061,1,,,,,,1,,,1,3,,,1,,,,,1,,1,,,,6,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,,,,15,7,2,9,,,2,,1,,1,,,,,,,,,,68
75062,,,,,1,,1,,1,1,3,,1,1,,,,,4,,,,6,,7,3,,,,1,,2,,,,,2,,,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,1,,,,1,,,,1,,,,6,,,3,,3,,1,,,,37,11,4,11,,1,1,,2,,2,,,,,1,1,2,,,127
75063,,,,5,1,1,2,,,7,7,,3,9,,,,4,10,1,1,,10,1,11,20,,,,7,,1,1,,,2,2,,,,,4,,1,,2,,,,,,7,,1,2,1,,1,,,,,,,,1,1,,,,,,,3,,1,,41,3,,7,5,6,,,,,,258,68,48,166,,3,12,,7,,8,1,,,,2,2,2,,,770
75065,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,2,,,,2,2,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,13,10,3,8,,,,,,,,,1,,,,1,,,,59
75067,,,,3,,,1,,,1,,,3,1,,,,,3,,,,10,,10,2,,,,2,,7,,,1,8,5,,,,,6,,1,,,,,,,,2,,1,2,,,,1,,,,,,1,1,1,,,,,,1,,2,1,,15,2,,1,,,,,,,,82,27,10,30,,1,3,,2,1,,,,,,,2,,,,253
75068,,,,6,,1,2,,,3,9,1,1,6,1,4,,1,3,,1,,6,1,26,12,,,,5,1,4,1,,1,12,14,,,,,1,,1,1,,1,,,,,9,,2,3,,,,1,,,1,,,,3,,1,,,,,1,,1,,,20,4,,3,2,1,1,,,,,172,37,17,97,,2,7,,2,2,6,,,,,3,3,4,,,531
75069,,,,3,1,4,1,,,1,1,,2,3,,3,,,1,,,,6,,12,,,,,3,,1,,,,3,3,,,1,,1,,1,,,,,,,1,4,,,,1,,1,,1,1,,,,,,1,,,,,,1,,,,,6,,,,2,1,1,1,,,,66,47,17,37,,,3,,2,1,1,,,1,,2,3,1,,,254
75070,1,,,5,,1,1,,,7,6,,3,6,,2,,1,10,3,,2,17,,34,19,,,,3,2,9,,,1,16,9,,,,,12,2,2,,,1,,,,2,9,,,1,1,,1,,,1,,,,1,1,2,1,,,,,,1,,1,,21,3,,4,1,5,1,,,,,248,80,28,138,,4,10,1,3,,4,,,,,3,5,8,,,764
75071,,,,9,1,1,2,,,6,7,,4,7,,4,,1,4,1,,,8,,19,13,,,,5,1,6,,,,12,16,,,,,11,,2,1,,,,,1,1,6,,5,4,1,,2,1,,2,,,,1,2,,,1,1,,,,1,1,3,,15,2,,4,2,3,,1,,,,207,53,21,109,,,7,,2,2,9,,,,,1,,7,,,619
75072,,,,8,,1,,,,6,4,,1,8,,3,,1,2,,,2,8,,8,10,,,,3,,5,,,1,6,5,,,,,4,1,1,,,,,1,,1,8,,,1,,,1,1,1,,,,,,,,,,,,,1,3,1,,,14,1,,,4,3,,,,,,147,43,9,68,,1,9,,4,,2,,,,,2,,6,,,420
75074,,,,3,,,1,,,3,1,,,2,,,,,4,,1,1,7,1,19,1,,,,3,,7,,,1,6,5,,,,,5,,1,,,,,,,1,6,,,,,1,,1,,1,1,,,,1,,,,,,,,,1,3,,23,1,,,1,4,1,,,,,110,35,18,44,,1,6,,4,3,3,1,,,,1,2,1,,,347
75075,,,,2,,,2,,,2,3,,3,2,,1,,1,5,1,1,,11,1,16,7,,,,2,,2,1,,,8,4,,,,,5,,1,,1,,,,,,1,,2,1,1,,,1,,,,,,,1,,,,,,,1,,1,2,,26,2,,2,,,,1,,,,91,28,9,35,,2,8,,,5,2,,,,,1,1,1,,,307
75076,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,1,,,,,,,5,5,1,5,,,,,,,1,,,,,,,,,,30
75077,1,,,3,,,1,,,,1,,3,4,,,1,,6,,,1,8,1,11,6,,,,3,,,1,,,9,7,,,,,1,,,,,,,,,3,5,,3,,1,,,,,1,,,,,,,,,1,,,,,,2,,7,,,1,,2,2,,,,,101,41,19,38,,,7,,,,,,,,,,3,2,,,307
75078,,1,,12,1,5,4,,,3,8,1,2,4,,3,,1,6,,1,,8,,12,17,,,,2,,2,,,2,10,12,,,1,,5,,2,,,,,,,1,13,,2,1,1,,2,1,,,,,,,1,1,,,,,,,,,,,14,2,,3,2,9,1,,,,,187,92,48,117,1,4,8,,2,1,13,,2,,,1,3,12,,,670
75080,,,,2,1,1,2,,,1,,,2,6,,1,,1,2,,1,1,14,1,25,12,,,,2,,5,,,2,5,2,,,,,4,,1,,,,,,,,4,,,4,2,,,2,,,,,,,,,,1,,,,,3,,1,,23,4,,2,,2,,,,,,93,23,15,42,1,2,5,1,2,1,4,,1,1,,1,3,4,,,341
75081,,,,,,,,,,4,1,,1,2,,1,,,1,,1,,4,1,16,1,,,,1,,2,,,1,5,2,,,,,3,,,,,,,,,1,4,,1,2,,,,,,,,,,1,,,,,,,,,1,1,1,,22,,,,2,2,,,,,,46,16,2,24,,,6,,2,,,,,,,1,1,,,,183
75082,,1,,2,1,,3,,,1,2,,4,5,,,,4,5,,,1,4,,17,7,,,,2,1,5,,,,5,4,,,,,4,,,,,,,,,3,3,,1,2,1,,,1,,,,,,,1,,,,2,,,,1,,2,,14,1,,2,,,,,,,,121,38,15,59,,1,9,,1,,2,,,,,1,1,6,,,366
75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75087,,,,3,,,1,,,2,3,,1,2,,1,,1,5,,,1,10,,17,5,,,,1,,2,,1,,4,6,,,1,,2,,1,,,,,,,1,14,,,1,1,,1,,,2,,,,,1,,2,,,,,,1,,,,4,,,1,,1,,,,,,69,31,9,29,,2,11,,1,1,,,,,,,2,3,,,258
75088,,,,,,,1,,,1,,,2,,,,,,1,,1,,3,1,5,3,,,,1,,1,,,,5,4,,,,,2,,,1,,,,,,,1,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,7,2,,1,,,,,,,,38,20,8,20,,1,4,,1,,1,,,,,,,1,,,141
75089,2,1,,,,,,,,1,5,,1,1,,,,1,2,,,,7,,9,9,,,,1,,2,,,,6,2,,,,,,,,,,1,,,,,4,,1,,,,1,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,44,13,3,26,,2,2,,2,,4,,1,,,1,,,,,162
75090,,,,,,,,,,1,1,,,,,,,,,,,,1,,6,1,,,,1,,1,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,5,1,,,1,,,1,,1,,,,,,,,,,34
75092,,,,,,,,,,1,1,,,,,1,,,,,,,5,,3,1,,,,,,1,,,,3,2,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,22,4,,9,,1,4,,2,,1,,,,,,,1,,,75
75093,1,2,,4,,1,2,,,2,12,1,5,5,,7,,4,9,,,,15,,17,12,,,,2,,2,,1,,10,4,,,,,4,,1,,1,,,,,,7,1,,1,,,2,1,1,2,2,1,,,1,2,,2,1,,,,,,1,,14,1,,11,9,15,,2,,,,230,136,59,106,1,,10,,3,,4,,1,,,5,2,7,,,765
75094,,,,1,,2,,,,2,4,,,2,,,,,7,,,,7,1,9,4,,,,3,,2,,,,1,2,,,,,6,,,,,,,,,1,2,,,,,,,,,,,1,,1,,,1,,,,,1,,,,,10,,,1,1,3,,,,,,93,31,20,51,,1,6,,2,,2,,,1,,,2,4,,,288
75098,,,,5,,1,,,,,5,1,1,5,,1,,,2,,1,,12,2,20,11,,,,1,1,1,2,,,13,7,,,2,,4,,,,1,,,1,,,11,,2,2,2,1,,,,,1,,,,,,,,1,,,1,,1,1,,25,,,1,1,,,1,,,,111,28,5,57,,1,10,,2,,6,,,,,1,1,,,,373
75101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
