Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q5 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,Bentley Bentayga Hybrid,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75006,,,,,,,,,1,1,,1,1,2,4,,2,,,,,1,7,1,15,5,,,,1,,1,,,,,2,6,,,,,1,,4,,,,,,,,4,,1,,3,,,,,,,1,,,,,,,,,,1,,1,1,,12,1,,,2,,,2,,,,55,21,14,14,,1,6,,,1,2,,1,,,,1,,,,201
75007,1,,,1,6,,1,,1,2,,,2,3,7,,3,,,,1,,13,,19,7,,,,4,,4,2,,,1,6,7,,,,,,,1,,,,,,,1,7,,2,2,1,,,,,,,,,,,,1,,,,,,1,4,1,,22,,,3,,,1,,,,,94,34,16,57,,1,7,,3,1,,1,,,,1,,1,,,354
75009,,,,1,2,,3,,1,5,,,3,,2,,,1,,,,,2,,3,4,,,,,,1,,,,,8,5,,,,,2,,1,,,,,1,,,9,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,1,,,,,,79,26,14,60,,1,4,,2,1,,1,1,1,,1,2,2,,,258
75010,,,,2,5,,2,,6,6,1,,1,2,4,2,,,,1,,,7,1,7,5,,,,2,,2,,,,,2,5,,,,,1,,4,,,,,,,,2,,2,2,2,,1,,,1,1,,,1,,,1,,,,,1,,1,,,7,2,,7,2,4,,2,,,,136,50,33,103,,1,6,,4,6,,,,2,,,1,3,,,452
75013,2,,,2,7,3,2,,7,8,3,1,14,1,13,,3,2,,1,1,2,8,,14,7,,,,3,,1,2,1,,,9,13,,,,,5,,,1,,,,,,,13,,4,3,1,,1,,,4,1,,,1,,1,1,,1,,,,3,1,,,22,2,,8,4,16,1,,,,,345,115,70,200,,2,9,,4,8,,,1,,,2,7,8,,,995
75015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75019,,,,4,6,,1,,4,10,3,1,12,3,10,,,,,,1,,13,,16,17,,,,1,,4,,,1,,6,9,,,,1,5,,1,,,,,,,2,5,,3,5,2,1,2,,,,,,,,,1,1,,,,,2,1,2,,,20,1,,5,4,8,,,,,,241,93,37,140,,4,10,,5,4,1,,,,,3,5,15,,,752
75020,,,,1,,,,,,1,,,,,,,,,,,,,3,,3,,,,,,,,,,,1,7,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,3,1,4,,,,,,,,,,,,,1,,,,38
75021,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,10
75022,1,,,3,7,1,,,4,6,1,3,4,1,3,,2,1,,,2,,7,,12,10,,,,4,,2,,2,,,5,9,,,1,,3,2,2,,,,,1,,2,4,,1,2,,1,,,,2,,,,1,,,1,1,,,,,,1,,,21,,,2,2,11,2,,,,,140,87,40,81,1,,7,,1,2,,1,,,,1,2,7,,,523
75023,,,,1,2,,,,5,3,,,4,1,5,1,,,,1,1,,7,1,21,7,,,,5,1,5,1,,,1,7,2,,,,1,2,,1,,,,,,,,2,,4,1,1,,2,,,,1,1,,1,,,1,,,,,,2,1,1,,22,3,,2,2,1,,,,,,91,28,13,35,,5,7,,2,4,1,,,,,1,1,2,,,324
75024,,1,,3,7,3,4,,3,11,,1,16,6,4,,4,1,,,1,2,8,,17,7,,,,2,1,,1,,,1,6,12,,1,,,6,3,1,,,,,1,,2,6,,1,1,3,,1,,2,2,,1,,,1,1,1,,1,,,1,1,1,1,,27,,,6,3,13,1,,,,,291,108,59,113,1,3,51,,9,5,,1,,,,1,5,4,,,862
75025,,1,,1,3,1,,,6,12,,1,9,3,5,,5,,,,,1,4,1,25,5,,,,7,,3,,,,2,8,10,,,,1,12,,,,,1,,,,,6,,1,1,,,1,,,,,,,,1,1,3,,,,,,1,1,,,31,1,,7,5,2,1,2,,,,264,69,28,143,,3,10,,5,5,1,,2,,,1,4,5,,,732
75028,,,,8,4,1,4,,7,11,1,,2,5,7,,1,,,1,2,,18,1,21,6,,,,5,,9,,1,,,11,14,,,,,3,1,1,,,1,,,,1,9,,6,3,,1,1,1,,2,,,,,,1,,,1,,,,2,2,,,27,3,,3,4,3,1,,,,,176,60,22,94,,3,5,1,,2,,,,1,,2,1,6,,,590
75029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3
75032,,,,1,2,2,1,,2,2,,,5,2,4,,,,,,2,1,5,1,9,7,,,,1,,3,,,,,6,14,,1,1,,2,,1,,,,,,,,6,1,1,1,1,,1,,,4,1,1,,,,,,,,,,,1,,,,7,1,,2,4,6,1,,,,,75,44,24,37,,1,7,,,3,1,,,,,,,2,,,308
75033,,,,2,7,,4,,5,4,1,,8,5,2,,6,,,,,1,4,,14,9,,,,2,,3,1,,1,,9,10,,,,,13,,2,,,,,,,1,16,1,1,,,1,2,,,2,,,,1,2,2,1,,2,,,,1,,,,13,3,,8,4,8,1,,,,,216,100,61,173,1,3,5,1,7,6,,,,,,,4,8,,,768
75034,3,1,,3,15,2,5,,11,16,2,1,21,3,8,,9,1,1,,,2,6,3,13,8,,,,2,1,4,3,,,2,11,15,,,,,8,4,2,,,,,,,4,25,,3,2,2,,,,,5,,2,,,1,3,1,,,,,1,1,,,,27,4,,9,8,22,2,,,,,312,160,95,189,1,8,12,,5,6,2,1,1,1,,1,3,13,,,1118
75035,1,,,4,20,1,3,,9,20,3,2,31,7,10,,5,,,,1,2,19,1,30,28,,,,7,,7,,1,,2,11,24,,,,,8,,5,,3,,,1,,,17,,8,4,1,,3,,,3,,1,,1,1,6,2,,,,,2,3,4,,,49,8,,5,3,12,2,,,,,581,146,108,356,4,13,19,,5,10,5,,1,,,3,4,14,,,1670
75036,2,,,2,4,2,,,5,7,1,,6,3,4,1,,,,,,2,4,,8,4,,,,1,,,1,,,,6,11,,,,,3,,,,,,,,,,8,,1,,1,,2,,,2,,1,,,,1,,,,,,,,1,,,7,1,,5,2,4,,,,,,218,43,52,141,,1,9,,2,7,,2,1,,,,,7,,,596
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75038,1,,,2,,,,,,2,,,4,2,1,,3,,,,,1,8,,2,251,,,,1,1,3,,,,,,2,,,,,1,,,,,,,,,,2,,,11,,,,,,1,,,,,1,,,,,,,,,10,,,11,71,,1,2,9,,,,,,62,24,18,40,,,1,,2,1,,,,,,,,1,,,553
75039,,,,1,8,,1,,10,5,,1,3,2,,,2,,,1,,1,1,,10,7,,,,2,1,,,1,,,2,5,,,,,1,,4,,,,,,,,3,,,1,2,,,1,1,1,,,,,1,,1,,,,,,1,2,,,4,,,4,1,4,,,,,,151,49,26,87,1,,5,,1,2,,1,1,,,,3,1,,,424
75040,,,,,1,,,,1,1,,,3,1,2,,,,,,,,6,1,16,2,,,,1,,1,,,1,,4,2,,,,,4,,,,,1,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,10,,,,,,,1,,,,53,9,2,14,,2,1,,3,5,,,,,,,,,,,152
75041,,,,,,,,,,,,,,,2,,2,,,,1,,3,,4,2,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,4,2,2,3,,,1,,,,,,,,,,,1,,,39
75042,,,,,,,,,,,,,,2,1,,,,,,,,,,4,1,,,,,,,,,,,3,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,1,,,,,,20,6,1,7,,1,3,,,,,,,,,1,,,,,60
75043,,,,,,,,,1,3,,,,1,4,,,,,1,1,1,6,,7,4,,,,1,,2,1,,,,3,2,,,,,1,,,,,,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,1,1,,8,,,,,2,,,,,,48,14,7,28,,,5,,,1,,,,,,,,1,,,161
75044,,,,1,5,1,,,1,2,,,1,3,2,,4,,,,,2,5,,11,2,,,,2,,3,,,,,3,4,,,,1,4,,2,,,,,,,,3,,1,,,,,2,,,,1,,,,,,,,,,,,,1,,16,3,,1,,1,,,,,,108,19,14,39,,,7,1,1,3,,1,,,,2,1,2,,,286
75045,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,1,2,,,,,,,,2,1,2,,1,,,,,,4,,11,2,,,,2,,,1,,,,4,3,,,,,4,,,,,,,,,,2,,3,2,1,,,,,,1,,,,,,,,,,,,,,,,9,1,,,,2,1,,,,,66,18,12,32,,2,4,,3,1,,,,,,,1,,,,202
75050,,,,1,,1,,,1,2,,,,,1,,,,,,1,2,3,,7,,,,,2,,2,,1,,,2,4,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,4,,,1,,2,,,,,,25,13,2,3,,,1,,,,,,,,,,,,,,85
75051,,,,2,1,,,,1,2,,,2,5,3,,,,,1,,,3,,9,,,,,1,,2,,,,,6,1,,,,,,,,,,,,1,,,2,,,,,1,,,,1,,,,2,1,,1,,,,,,,,,,3,1,,1,2,,,,,,,35,27,13,17,,2,4,,,1,1,,1,1,,,,1,,,158
75052,,,,,1,,,,12,7,,,3,1,2,,5,,,1,1,2,6,,12,5,,,,,,3,,,,1,7,3,,,,,1,,,,,2,,,,,7,,1,1,,,1,,,,,,,,1,,,,1,,,,,,,,14,2,,,,3,,2,,,,96,31,14,41,,,9,,1,3,,,,,,,,1,,,304
75054,,,,1,3,1,,,3,2,,1,1,,1,2,3,,,,,1,,,7,3,,,,,,1,,,,1,1,1,,,,,3,,1,,,,,,,,3,,1,2,1,,,,,,,,,,,,2,,,,,,,,,,11,1,,1,1,1,,,,,,63,22,19,29,,,3,,,1,1,1,,,,,,,,,200
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75056,1,,1,3,6,1,1,,5,10,2,,8,2,4,,4,,,1,1,,12,1,29,14,,,,1,,7,1,,,,7,18,,,1,,3,,,,,,,1,,,12,,6,1,1,,,1,,1,,,,,1,,,,,,,1,,2,,,27,1,,5,3,15,3,3,,,,244,76,53,178,,2,9,,4,6,,,,1,,2,5,7,,,815
75057,,,,,,,,,2,1,,,,,,,1,,,,,,1,,3,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,,13,8,2,6,,,2,,1,1,,,,,,,,,,,56
75058,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,5,1,6,,,2,,,,,,,,,,,,,,29
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,1,1,,,,,1,,,,,,,,3,,6,,,,,1,,1,,,,,1,1,,,,,1,,1,,,,,2,,,1,,,1,3,,,1,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,22,4,4,14,,,4,,,,,,,,,1,,,,,79
75061,1,,,1,,,,,1,3,,,2,,1,,,,,,1,,,,7,,,,,,,1,,,,,2,,,,,,2,,,,,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,16,7,2,10,,,2,,1,1,1,,,,,,,,,,73
75062,,,,1,,1,,,1,3,,,4,1,1,,,,1,,,1,6,,7,3,,,,1,,2,,,,,,2,,,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,1,,,,1,,,,1,,,,7,,,2,,3,1,1,,,,42,11,5,14,,1,1,,2,2,,,,,,1,1,2,,,138
75063,,,,1,7,2,1,,7,7,,4,11,3,8,1,,1,,1,1,,9,1,10,20,,,,7,,1,1,3,,,2,7,,,,,4,,1,,2,,,,,,8,,2,2,1,,1,,,,,1,,,1,1,,,,,,,3,1,,,28,4,,7,5,6,1,,,,,278,67,50,185,,3,13,,7,9,,1,,,,3,3,2,,,816
75065,,,,,,,,,,,,,,,,,,,,,,,2,,4,1,,,,,,1,1,1,1,,2,3,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,5,,,1,,1,1,,,,,13,12,3,10,,,1,,,,,,1,,,,1,,,,69
75066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75067,,,,1,3,,,,1,,,,3,3,2,,,,,,,,9,,9,2,,,,2,,7,3,,,1,7,5,,,,,6,,2,,,,,,,,2,,1,2,,,,1,,2,,,,1,1,1,,,,,,1,,1,2,,16,3,,1,,,,,,,,88,26,9,36,,1,2,,2,,2,,,,,,1,,,,268
75068,,,,2,6,,1,,6,10,1,1,4,1,7,1,4,,,,1,,5,1,26,11,,,,5,1,4,,1,,1,10,15,,,,,1,,4,1,,1,,,,,13,,3,3,,,,1,,,1,,,,3,,1,,,,,1,,,1,,20,5,,3,2,3,2,,,,,180,41,20,132,,2,7,,2,6,2,,,,,3,4,3,,,596
75069,,,,,2,1,4,,1,1,,,1,2,3,,3,1,,,,,4,,11,,,,,3,,1,2,,,,3,4,,,1,,2,,2,,,,,,,1,6,,1,,1,,1,,1,1,,,,,,1,,,,,,1,,,,,7,1,,,2,1,2,1,,,,71,48,18,41,,,4,,2,1,1,,,1,,2,3,,,,272
75070,1,,,1,6,,2,,7,6,,2,10,3,6,,2,1,,3,,2,16,,33,20,,,,2,2,8,1,,,1,16,11,,,,,11,2,4,,,1,,,,2,12,,4,2,1,,1,,,1,,,,1,1,2,1,,,,,,1,1,,,22,3,,4,1,3,3,,,,,263,83,31,171,,4,9,1,3,4,,,,,,4,6,8,,,833
75071,,,,2,8,1,2,,7,7,,1,4,3,5,1,5,1,,,,3,8,,19,14,,,,5,1,6,1,,1,,10,17,,,,,11,,3,1,,,,,1,1,6,,8,5,1,,2,1,,3,,,,1,2,,1,1,1,,,,1,3,1,,16,3,,4,3,3,1,2,,,,226,54,24,137,,1,10,,2,9,1,,,,,1,1,6,,,690
75072,1,1,,1,11,1,1,,7,5,,1,2,1,7,,3,,,,,3,9,,8,13,,,,2,,5,,,2,1,6,7,,,,,4,1,1,,,,,1,,1,8,,,1,,,1,1,1,2,,,,,,,,,,,,1,3,,1,,13,1,,,4,3,,,,,,162,46,11,79,,1,11,,4,2,,,,,,2,1,7,,,472
75074,,,,1,3,,,,3,1,,,5,1,1,,,,,,1,3,7,1,19,,,,,4,,7,,,,1,6,5,,,,,5,,2,,,,,,,1,4,,,1,,1,,1,,1,1,,,,1,,,,,,,,,3,1,,24,2,,,1,5,1,,,,,112,35,19,52,,1,5,,5,4,3,1,,,,1,2,1,,,365
75075,,,,2,2,,1,,2,4,,,6,3,2,1,1,,,1,1,,15,1,16,7,,,,2,1,2,1,1,,,8,5,,,,,5,,2,,1,,,,,,1,,2,2,1,,,1,,1,,,,,1,,,,,,,1,,2,1,,25,4,,2,,,,1,,,,94,30,10,42,,2,8,,,2,5,,,,,1,1,1,,,334
75076,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,1,,,,,,,5,5,1,5,,,,,,1,,,,,,,,,,,31
75077,1,,,2,4,,1,,,1,,,6,3,5,,,2,,,,2,8,1,11,6,,,,3,,1,2,1,,,9,9,,,,,1,1,,,,,,1,,3,6,,4,,1,,1,,,1,,,,,,,,,1,,,,,1,,,8,,,1,,2,4,,,,,105,41,21,47,,,7,,,,,,,,,,3,2,,,340
75078,,1,,4,12,1,6,,4,10,1,,7,2,4,,3,1,,,1,,5,,12,16,,,,2,,2,1,,1,3,11,17,,,1,,5,,4,,,,,,,1,16,,5,1,1,,2,1,,1,,1,,,1,2,,,,,,,,,,,14,2,,4,2,8,3,,,,,208,100,55,150,1,4,11,,3,13,1,,2,,,1,2,13,,,766
75080,,,,3,2,1,1,,1,1,,1,2,2,7,,,,,,1,3,12,1,24,12,,,,1,,5,,,1,2,5,4,,,,,4,,1,,,,,,,,4,,,4,2,,,2,,,,,,,,,,1,,,,,3,1,,,21,5,,2,,3,,,,,,99,24,13,50,1,2,6,1,3,5,1,1,1,1,,1,3,4,,,361
75081,,,,,,,,,3,1,,,1,1,3,,1,,,,1,1,4,1,15,1,,,,1,,2,,,,1,5,2,,,,,3,,,,,,,,,1,4,,1,2,,,,,,,,,,1,,,,,,,,,1,1,1,,22,,,,2,2,,,,,,51,16,2,29,,,5,,2,,,,,,,1,1,,,,192
75082,,1,,2,3,1,1,,1,2,1,4,6,4,5,,,,,,,1,4,1,17,7,,,,2,1,5,,1,,,5,4,,,,,4,,,,,,,,,3,3,,2,2,,,,1,,,,,,,1,,,,1,,,,1,1,,,13,1,,2,,,1,,,,,127,39,16,68,,1,9,,1,3,,,,,,1,1,7,,,388
75087,,,,1,3,,,,3,2,,1,4,1,3,,1,,,,,2,10,,16,4,,,,1,,2,1,,,,5,8,,,1,,2,,1,,,,,,,2,13,,,2,1,,1,,,2,1,1,,,1,,2,,,,,,1,,,,4,,,1,,1,2,,,,,77,33,10,35,,2,12,,1,,1,,,,,,2,3,,,283
75088,,,,1,1,,,,1,,,,1,2,,,,,,,1,1,3,1,4,2,,,,1,,1,1,,,,5,5,,,,,2,,,1,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,6,2,,1,,,,,,,,41,20,9,22,,1,4,,1,1,,,,,,,1,1,,,148
75089,2,1,,,,,,,1,5,,1,2,1,1,,,,,,,,7,,9,10,,,,1,,2,,,,,7,3,,,,,,,1,,,1,,,,,4,,1,,,,1,,,,,1,,,,1,,,,,,,,,,,6,,,,,,1,,,,,46,14,4,28,,2,2,,2,3,,,,,,1,,,,,172
75090,,,,,,,,,1,,,,,,,,,,,,,,1,,6,1,,,,1,,1,,,,,2,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,5,1,,,1,,,1,1,,,,,,,,,,,35
75092,,,,,,,,,1,1,,,,,,,1,,,,,,5,,3,1,,,,,,1,,,,,3,2,,,,,2,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,27,4,,10,,1,4,,2,1,,,,,,,,1,,,83
75093,1,2,,2,5,3,1,,3,10,1,2,9,5,4,1,6,2,,,,,14,,17,12,,,,2,,2,6,,,,10,6,,,,,4,,1,,1,,,,,,7,1,,2,,,3,1,1,2,2,1,,,1,2,,2,1,,,,,1,,,15,2,,13,8,16,3,2,,,,235,140,65,116,,,10,,3,4,1,2,1,,,5,3,8,,,811
75094,,,,,1,,2,,2,4,,,7,,2,,,,,,,,6,1,9,4,,,,4,,2,1,,1,,1,3,,,,,6,,,,,,,,,1,3,,,,,,,,,1,,1,,1,,,1,,,,,1,,,,,10,,,1,1,5,3,,,,,98,32,21,57,,1,6,,2,2,,,,1,,,2,4,,,311
