Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
75019,,,,4,,1,3,,,3,7,3,3,11,,2,5,,1,,17,,15,16,,,,2,,4,,,6,7,,,,1,5,,,,,,,,2,3,,3,1,1,1,,,1,,,,,,,1,,,,,2,,,2,,21,,,5,3,7,,,,,212,83,37,99,,4,7,,2,1,3,,,,3,2,7,,629
75020,,,,,,,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,1,8,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,3,1,1,,,,,,,,,,,,,,,31
75021,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7
75022,1,,,6,1,,2,,,4,6,2,1,3,3,3,1,,2,,6,,13,12,,,,4,,1,,,4,4,,,1,,3,,,,,,1,,,1,,1,1,1,,,,1,,,,,,,,1,,,,,,,1,,20,,,2,3,6,1,,,,131,80,34,58,1,,7,,1,,2,,,,1,2,6,,446
75023,,,,1,,1,1,,,3,3,,1,5,1,,4,1,1,,6,1,23,6,,,,4,,5,,1,8,,,,,1,1,,,,,,,,,2,,1,1,,1,,,,,,,1,,,,,,,,,3,1,2,,27,1,,1,2,,,,,,74,26,9,21,,5,6,,2,2,4,,,,,1,1,,272
75024,,1,,9,2,2,3,,,3,11,,3,5,5,1,13,,,1,7,,13,8,,,,5,1,,,1,7,5,,1,,,6,,,,,,1,,1,4,,1,1,,1,,1,1,,,,,1,,1,,1,,,1,,1,,,27,,,5,4,9,,,,,272,90,55,91,1,3,39,,11,,6,,,,,2,4,,748
75025,,1,,3,1,1,,,,3,12,,1,5,5,2,5,,,,8,1,25,5,,,,6,,4,,2,8,4,,,,,13,,,1,1,,,,,5,,2,,,,,,,,,,,1,1,3,,,,,,1,,1,,32,1,,7,4,1,,2,,,243,69,27,103,,3,9,,4,1,4,2,,,1,2,6,,652
75028,,,,5,,2,4,,,6,8,,2,9,1,1,3,1,1,,19,2,22,6,,,,5,,10,,,11,8,,,,,2,,,,1,,1,,1,7,,3,,1,,1,,,,,,,,,,,1,,,,2,,1,,26,2,,3,4,2,,1,,,153,54,19,60,,3,5,1,,,2,,1,,2,,6,,491
75029,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75032,,,,2,1,1,,,,2,1,,2,5,2,,1,,3,1,6,1,9,8,,,,1,,3,,,6,9,,1,1,,2,,,,,,,,,6,1,1,1,,1,,,4,,,,,,,,,,,,,1,,,,6,1,,2,4,7,,,,,64,44,28,29,,1,6,,,1,3,,,,,,1,,280
75033,,,,4,,2,3,,,5,5,1,4,3,3,1,9,,,,5,,13,5,,,,2,,3,,,10,8,,,1,,10,,,,,,,,1,9,1,,,1,1,,,,,,,1,2,,1,,2,,,,1,,,,12,3,,6,3,8,,,,,193,92,52,120,1,3,2,1,4,1,3,,,,,3,4,,628
75034,3,1,1,11,2,3,3,,,9,17,1,4,8,8,2,21,,,,5,2,14,10,,,,2,1,4,,2,9,8,,,,,7,,,,,,,,1,15,,2,1,,,,,3,,,,,1,1,1,,,,,2,,,,,31,2,,7,7,20,,,,,266,144,78,125,1,7,12,,4,2,5,,1,,1,1,13,,912
75035,1,,,17,,3,3,,,8,18,2,6,10,5,2,24,,1,1,19,1,33,22,,,,7,,5,,1,12,18,,,,,8,,,3,,,1,,1,10,,2,,,1,,,3,,,,1,,,1,,,,,2,3,,2,,50,2,,5,3,11,,,,,517,135,90,230,3,12,18,,2,4,9,1,,,3,2,6,,1360
75036,2,,,4,1,,1,,,4,7,1,2,6,,1,4,,1,,5,,7,3,,,,2,,,,,3,8,,,1,,4,,,,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,,,1,,5,1,,5,2,1,,,,,201,35,40,111,,1,9,,1,,5,1,,,,,9,,500
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
75038,1,,,,,,1,,,,2,,1,2,2,,2,,,,8,,4,174,,,,1,1,3,,,,1,,,,,2,,,,,,,,,1,,11,,,,,,,,,,,1,,,,,,,,,,,,11,70,,2,1,9,,,,,47,21,16,29,,,1,,1,,1,,,,,,2,,429
75039,,,,3,,,,,,7,6,,3,,2,2,4,1,1,1,1,,13,6,,,,2,1,,,,2,3,,,,,2,,,,,,,,,2,,1,,,,1,1,1,,,,,1,,,,,,,,1,,2,,6,,,5,,3,,,,,137,44,25,55,1,1,6,,1,,1,,,,,2,1,,358
75040,,,,1,,,,,,,1,,1,3,,,3,,,,7,1,15,2,,,,1,,1,,,4,,,,,,3,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,45,8,,6,,2,1,,2,,3,,,,,,,,127
75041,,,,,,,,,,,,,,2,1,,,,1,,1,,1,2,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,4,1,1,2,,,1,,,,,,,,,,,,25
75042,,,,,,,,,,,,,2,,,,,,,,,,5,1,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,14,5,,5,,1,4,,,,,,,,,,,,45
75043,1,,,,,,,,,,2,,1,4,,,,1,1,,6,,7,4,,,,1,,3,,,2,2,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,4,,,,,2,,,,,35,12,5,20,,,3,,,,1,,,,,,1,,123
75044,,,,5,,,,,,1,2,,2,2,3,,1,,,1,5,,14,2,,,,2,,3,,,3,3,,,,,4,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,15,,,1,,1,,,,,92,15,10,23,,,8,1,1,,2,,,,2,,1,,229
75045,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,2,,,1,,,,,,,2,1,,2,,,,4,,10,3,,,,2,,,,,3,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,,,,,53,13,8,22,,2,4,,3,,1,,,,,1,,,152
75050,,,,,,,1,,,1,1,,,2,,,,,,,3,,9,,,,,2,,2,,,2,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,1,,,,,,,19,13,3,1,,,1,,,,,,,,,,,,71
75051,,,,1,,,2,,,,2,,3,3,,,1,,,,1,,5,,,,,1,,3,,,8,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,3,,,1,1,,,,,,19,15,8,13,,1,3,,,1,,,,,,,1,,101
75052,,,,1,,,,,,12,6,,1,2,4,,2,1,1,,9,1,13,3,,,,1,,3,,1,6,,,,,,1,,,,1,,,,,4,,1,,,1,,,,,,,,1,,,,,,,,,,1,,16,,,1,,1,,3,,,90,27,12,30,,,6,,,,3,,,,,,,,266
75054,,,,2,,,,,,2,2,,,1,3,,2,,,,,,6,4,,,,,,1,,1,2,1,,,,,2,,,,,,,,,3,,1,1,,,,,,,,,,,,2,,,,,,,,,,10,,,,1,,,,,,49,19,18,26,,,1,,,1,1,1,,,,,,,163
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
75056,1,,1,1,,1,,,,4,8,2,2,4,4,,5,1,1,,12,,30,14,,,,2,,7,,,6,15,,1,1,,2,,,,,,,,1,6,,1,1,,,1,,2,,,,,1,,,,,,,1,,,2,,26,,,3,4,12,,3,,,214,70,51,125,,2,6,,2,,5,,,,2,3,5,,674
75057,,,,,,,,,,1,1,,,1,1,,,,,,1,,2,,,,,,,,,,3,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,10,6,1,5,,,1,,1,,1,,,,,,,,45
75058,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,5,1,5,,,1,,,,,,,,,,,,23
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,,1,1,,,3,,1,,,,,5,,6,,,,,1,,1,,,1,,,,,,1,,,,,,2,,,1,,1,1,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,22,5,4,13,,,5,,,,,,,,1,,,,81
75061,,,,,,,1,,,1,3,,,1,,,1,,1,,,,7,,,,,,,1,,,1,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,15,7,2,9,,,2,,1,,,,,,,,,,64
75062,,,,,,,1,,,2,2,,1,,,,2,,,,7,,8,3,,,,1,,2,,,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,1,,,,1,1,1,,6,,,3,,2,,1,,,31,12,4,10,,1,,,1,,2,,,,1,,2,,115
75063,,,,2,1,2,2,,,8,6,,3,9,,3,8,1,1,,11,1,10,19,,,,6,,1,1,,2,3,,,,,4,,,1,,,,,,7,,1,1,,,,,,,,,,1,,,,,,,,2,,1,,56,3,,7,5,7,,,,,242,67,45,136,,3,10,,4,,6,,,,2,1,2,,714
75065,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,2,,,2,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,14,10,3,6,,,,,,,,1,,,,1,,,56
75067,,,,3,,,,,,1,,,3,,,,3,,,,11,,10,2,,,,2,,7,,1,8,3,,,,,5,,,,,,,,,1,,2,,,,1,,,,,,1,1,,,,,,,1,,2,1,,14,,,1,,,,,,,69,25,8,21,,1,4,,1,1,,,,,,1,,,215
75068,,,,3,,1,2,,,2,8,1,1,5,3,1,2,,1,,7,1,22,13,,,,5,1,5,1,1,13,11,,,,,1,,,,1,,,,,6,,3,,,,1,,,,,,,3,,1,1,,,,1,,1,,,21,2,,4,2,1,1,,,,160,36,17,76,,2,4,,2,2,5,,,,3,2,4,,473
75069,,,,2,,4,1,,,1,,,2,3,3,,1,,,,5,,13,,,,,3,,,,,3,1,,,1,,1,,,,,,,,1,2,,,1,,1,,1,1,,,,,,,,,,,,1,,,,,5,,,,2,2,,1,,,58,39,16,33,,,2,,2,,1,,,,1,1,1,,216
75070,1,,,6,,3,1,,,8,6,,4,9,1,1,4,3,,2,20,,35,17,,,,3,2,8,,1,14,5,,,,,12,,,,1,,,,1,8,,,2,,1,,,1,,,,1,1,,1,,,,,,,,,,20,3,,4,1,5,,,,,220,73,27,106,,4,11,1,3,,4,,,,3,4,7,,679
75071,,,,7,,1,1,,,5,4,,4,6,4,1,4,1,,,6,1,22,13,,,,4,1,6,,,12,9,,,,,12,,1,,,,,,1,3,,3,1,,2,1,,3,,,,1,3,,1,1,1,,,,1,1,3,,13,,,5,2,3,,1,,,191,51,19,86,,,7,,1,2,7,,1,,1,,6,,547
75072,,,,4,,,,,,5,4,,2,9,3,1,3,,,1,7,,9,11,,,,3,,4,,,6,2,,,,,4,,,,1,,1,,1,7,,1,,,1,,,,,,,,,,,,,,,,3,1,,,13,,,1,3,3,,,,,143,28,7,56,,1,8,,4,,1,,,,1,,6,,369
75074,,,,3,,,,,,3,1,,,2,1,,3,,1,,7,1,20,1,,,,3,,6,,1,6,3,,,,,5,,,,,,,,1,5,,,,1,,2,,1,1,,,,1,,,,,,,,,1,4,,24,1,,,1,3,,,,,104,34,16,38,,1,6,,3,3,3,,,,1,2,1,,325
75075,,,,2,,,1,,,2,3,,3,3,1,1,5,1,1,,12,1,15,7,,,,3,,2,,,7,4,,,,,5,,,1,,,,,,2,,1,,,,1,,1,,,,,1,,,,,,,,,1,2,,25,1,,2,,,,,,,85,26,9,29,,2,9,,,4,1,,,,,,1,,283
75076,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,4,5,1,5,,,,,,,1,,,,,,,,27
75077,1,,,1,,,2,,,,,,4,4,,,6,,,1,7,1,11,7,,,1,4,,,1,,9,7,,,,,1,,,,,,,,3,4,,,,,,,,1,,,,,,,,,1,,,,,,2,,8,,,,,2,,,,,87,39,19,36,,,7,,,,,,,,,3,2,,282
75078,,1,,9,,1,3,,,4,6,,3,3,2,1,6,,1,,10,,15,15,,,,2,,2,,2,9,7,,,1,,5,,,,,,,,1,9,,1,,,1,1,,,,,,,,,1,,,,,,,,1,,13,2,,3,2,7,,,,,164,73,47,90,1,5,4,,1,1,10,2,,,1,3,11,,563
75080,,,,1,1,1,2,,,1,,,1,6,1,1,2,,1,,13,1,24,12,,,,2,,6,,2,6,1,,,,,4,,,,,,,,,4,,2,1,,,1,,,,,,1,,,,1,,,,,3,,1,,22,2,,2,,2,,1,,,87,20,13,37,1,2,6,1,2,1,3,1,1,,1,4,4,,316
75081,,,,,,,1,,,4,,,1,2,1,,1,,1,,4,1,17,3,,,,1,,2,,,6,3,,,,,3,,,,,,,,,3,,1,,,,,,,,,,1,,,,,,,,,1,1,1,,19,,,,1,1,,,,,44,15,2,22,,,6,,2,,,,,,,1,,,172
75082,,1,,2,1,,2,,,1,4,,5,5,,6,3,,,,5,,17,6,,,,2,1,6,,,5,3,,,,,4,,,,,,,,3,2,,,1,,,1,,,,,,,1,,,,3,,,,,,2,,15,1,,3,,,,,,,116,35,13,54,,1,9,,1,,2,,,,1,1,4,,348
75083,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75084,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75087,,,,3,,,1,,,1,3,,1,1,,1,5,,1,1,12,,15,7,,,,1,,2,,,4,5,,,2,,2,,,,,,,,2,10,,1,1,,,,,2,,,,,,,1,,,,,,1,,,,7,,,1,,,,,,,65,24,6,22,,2,10,,1,,,,,,,2,2,,228
75088,,,,1,,,1,,,1,,,2,,,,1,,1,,2,1,5,3,,,,1,,1,,,5,2,,,,,2,,1,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,6,1,,1,,,,,,,31,19,7,17,,1,4,,1,,1,,,,,,1,,124
75089,1,,,,,,,,,1,3,,1,1,,1,2,,,,8,,10,9,,,,1,,1,,,6,1,,,,,,,,,,,,,,3,,,,,1,,,,,,,,1,,,,,,,,1,,,,4,,,,,,,,,,39,11,2,24,,2,2,,2,,3,1,,,1,,,,143
75090,,,,,,,,,,1,1,,,,,,,,,,1,,6,,,,,1,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,4,1,,,1,1,,1,,1,,,,,,,,31
75092,,,,,,,,,,1,1,,,,1,,,,,,4,,3,,,,,,,,,,3,2,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,20,4,1,6,,,3,,2,,1,,,,,,1,,62
75093,1,2,,4,,1,2,,,2,12,1,4,5,7,5,9,,,,13,,18,13,,,,2,,2,,,10,3,,,,,3,,,,,,,,,6,1,,,,1,1,1,1,,,,,1,,,2,1,,,,,,1,,14,1,,13,9,13,,2,,,215,127,56,88,1,,10,1,3,,3,,,,5,2,6,,704
75094,,,,2,,2,,,,2,5,,1,3,,,7,,,,6,1,10,3,,,,3,,2,,,1,2,,,,,6,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,8,,,1,1,1,,,,,91,29,18,44,,1,4,,1,,2,,1,,,2,4,,269
75098,,,,4,,1,,,,,4,1,2,6,1,,2,,,,11,2,20,8,,,,1,1,1,1,,14,4,,,2,,4,,,1,,,1,,,7,,1,,,,,,,,,,,,,,,1,,,1,,1,1,,21,,,1,1,1,,1,,,100,28,6,41,,1,9,,2,,5,,,,1,1,,,323
75102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75103,,,,,,,,,,1,,,,,,,,,,1,2,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,1,,,,,,,,,,,,18
75104,1,,,1,,1,,,,3,3,,3,1,3,,1,1,3,,4,1,10,2,,,,4,,6,,,5,1,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,3,2,3,,2,,,39,32,11,13,1,,5,,,,,,,,,,1,,176
75106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75109,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,1,,,,,,,,1,,,,14
75110,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,1,,1,,,,,,,,,,14
75114,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
