Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q5 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Genesis GV60 EV,Honda Accord Plug In,Honda Clarity BEV,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lexus NX 450h+,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75006,,,,,,,,,1,1,,1,1,2,4,,2,,,,,,1,6,1,15,5,,,,1,,1,,,,,3,6,,,,,,,1,,4,,,,,,,,4,,1,,3,,,,,,,,1,,,,,,,,,,1,,1,1,,11,1,,,2,,,,2,,,,,57,23,14,14,,1,6,,,1,2,,1,,,,1,,,,204
75007,1,,,,6,,1,,1,2,,,2,3,7,,3,,,,,1,1,13,,19,7,,,,4,,4,2,1,,1,8,9,,,,,,,1,,1,,,,,,,1,7,,5,2,1,,,,,,1,,,,,,,1,,,,,,1,4,1,,22,,,3,,1,,1,,,,,,98,35,17,58,,1,7,,3,1,,1,,,,1,,1,,,372
75009,,,,1,2,,4,,1,5,,,3,,2,,,1,,,,,,2,,3,4,,,,,,1,,,,,7,8,,,,,,,3,,1,,,,,1,,,9,,2,1,,,,,,2,,,,,,,,,,,,,,,,,,3,3,,,,1,,,,,,,,83,27,14,72,,1,5,,3,3,,1,1,1,,1,2,2,,,286
75010,,,,3,4,,3,,5,7,1,,1,2,4,2,1,,,,1,,2,7,1,7,4,,,,2,,2,,,,,2,5,,,,,,,2,,4,,,,,,1,,2,,2,2,2,,1,,,1,1,1,,,1,,,1,,,,,1,,1,,,7,2,,8,2,4,,,2,,,,,142,52,32,109,,1,6,,4,6,,,,2,,,1,3,,,472
75013,2,,,2,8,3,2,,7,8,3,1,14,1,12,,2,2,,1,1,1,2,8,,14,9,,,,3,,1,2,1,,,9,15,,,,,,,5,,,1,,,,,,,12,,4,3,1,,1,,,,4,1,,,1,,2,2,,1,,,,3,1,,,22,3,,8,5,17,,2,,,,,,352,118,75,207,,2,8,,4,8,,,1,,,2,7,7,,,1024
75015,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75019,,,,3,6,,1,,4,10,3,1,12,4,10,,,,,,,1,,13,,14,15,,,,1,,4,,,1,,6,11,,,,1,1,,5,,1,,,,,,,2,6,,4,5,2,1,2,,,1,,,,,,,1,1,,,,,2,1,2,,,23,2,,6,4,8,,,,,,,,247,97,37,149,,4,10,,5,5,1,,,,,3,4,15,,,778
75020,,,,1,,,,,,1,,,,,,,,,,,,,,3,,3,,,,,,,,,,,1,7,1,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,6,4,1,5,,,,,,,,,,,,,,,,,41
75021,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,13
75022,1,,,2,7,1,,,4,6,1,2,4,1,3,1,2,1,,,,2,,7,,11,10,,,,4,,2,,2,2,,5,10,,,1,,,,3,2,2,,,,,1,,2,4,,2,2,,1,,,,2,2,,,,1,,2,1,1,,,,1,,1,,,22,1,,3,3,12,,3,,,,,,146,87,42,87,1,,7,,1,3,,1,,,,2,2,8,,,553
75023,,,,1,2,,,,6,3,,,4,2,5,1,,,,,1,1,,7,1,21,7,,,,5,1,5,1,,,1,7,4,,,,,1,,2,,1,,,,,,,,3,,4,1,1,,2,,,,,1,1,,1,,,1,,,,,,2,1,1,,23,3,,2,2,1,,,,,,,,97,27,15,41,,5,7,,2,5,1,,,,,1,1,2,,,344
75024,,1,,3,7,3,4,,3,12,,1,17,6,5,1,4,1,,,,1,4,8,,18,6,,,,2,1,,1,,,1,4,13,,1,,,,,7,3,1,,,,,1,,2,6,,1,1,3,,1,,2,64,2,,1,,,1,2,1,,1,,,1,1,1,1,,27,,,6,4,13,,1,,,,,3,297,110,68,119,,3,52,,7,5,,1,,,,1,5,4,,,958
75025,,1,,1,3,1,,,6,12,,1,9,3,5,,5,,,,,,1,4,1,24,6,,,,7,,3,,,,2,8,14,,,,,1,,12,,,,,1,,,,,7,,2,1,,,1,,,,,,,,,1,2,3,,,,,,1,1,,,31,1,,7,5,2,,1,2,,,,,273,69,33,153,,3,10,,5,6,1,,2,,,1,4,5,,,764
75028,,,,8,4,1,4,,6,10,1,,2,5,7,,1,,,,1,2,1,18,1,21,7,,,,5,,9,,1,,,11,13,,,,,,,5,1,1,,,1,,,,1,10,,8,3,,1,1,1,,,2,,,,,,1,,,1,,,,1,2,,,27,3,,3,4,3,,2,,,,,,183,61,25,100,,3,5,1,,3,,,,1,,2,1,5,,,611
75029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3
75032,,,,1,2,3,1,,2,2,,,5,2,4,,,,,,,2,1,5,1,9,7,,,,1,,3,,,1,,6,16,,1,1,,,,3,,1,,,,,,,,7,1,1,1,1,,1,,,2,4,1,1,,,,,,,,,,,1,,,,7,1,,2,5,8,,1,,,,,,76,44,24,41,,1,7,,,4,1,,,,,,,2,,,325
75033,,,,1,9,,5,,5,6,1,,8,5,2,,6,,,,,,1,5,,14,10,,,,2,,3,1,,1,,8,11,,,,,,,13,,2,,,,,,,1,16,1,2,,,1,2,,,2,3,,,,1,2,2,1,,2,,,,1,,,,13,3,,8,4,7,,1,,,,,,218,99,67,187,1,3,5,1,8,6,,,,,,,4,8,,,799
75034,3,1,,5,19,2,6,,10,17,2,1,23,3,8,,9,1,1,1,,,2,7,3,10,7,,,,2,1,4,3,,1,2,10,19,,,,,,,8,4,3,,,,,,,4,25,,3,2,2,,,,,4,4,,1,,,1,3,1,,,,,1,1,,,,27,5,,12,8,24,,3,,,,,,316,161,102,203,1,8,11,,5,7,2,1,1,1,,1,3,13,,,1165
75035,1,,,4,23,1,3,,10,22,3,2,32,7,11,2,5,,,,,1,3,17,1,29,29,,,,8,,7,,1,,3,12,28,,,,,,,9,,5,,3,,,1,,,18,,8,3,1,,3,,,2,4,,1,,1,1,6,2,,,,,2,3,4,,,51,8,,5,3,13,,2,,,,,,592,148,118,388,4,16,19,,5,12,5,,,,,3,4,14,,,1752
75036,2,,,2,5,2,,,5,8,1,,6,3,4,2,,,,,,,2,4,,8,4,,,,1,,,1,,1,,7,14,,,,,,,3,,,,,,,,,1,9,,1,,1,,2,,,2,2,,1,,,,1,,,,,,,,1,,,7,1,,5,2,4,,2,,,,,,225,44,54,152,,1,10,,4,7,,2,,,,,,7,,,633
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75038,1,,,2,,,1,,1,2,,,4,2,1,,3,,,,,,1,8,,2,250,,,,1,1,3,,,,,2,2,,,,,,,1,,,,,,,,,,3,,,11,,,,,,,1,,1,,,1,,,,,,,,,10,,,11,71,,3,2,9,,,,,,,,64,23,19,43,,,1,,2,1,,,,,,1,,1,,,566
75039,,,,1,7,,2,,10,8,,1,4,2,,,2,,,,1,,1,1,,10,6,,,,2,1,,,1,1,,2,5,,,,,,,1,,5,,,,,,,,5,,,1,2,,,1,1,2,1,,,,,1,,1,,,,,,1,1,,,5,,,4,1,5,,1,,,,,,152,51,27,96,1,,5,,1,3,,1,1,,,,3,1,,,449
75040,,,,,1,,,,1,1,,,3,1,2,,,,,,,,,7,1,17,1,,,,,,1,,,2,,4,2,,,,,,,4,,,,,1,,,,1,2,,2,,,,,,,1,,,,,,1,,,,,,,,,,,,11,,,,,,,,1,,,,,53,11,3,14,,2,1,,3,5,,,,,,,,,,,160
75041,,,,,,,,,,,,,,,1,,1,,,,,1,,3,,4,2,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,6,1,2,3,,,1,,,,,,,,,,,1,,,38
75042,,,,,,,,,,,,,,2,1,,,,,,,,,,,4,1,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,1,,,,,,,,20,6,1,9,,1,3,,,,,,,,,1,,,,,61
75043,,,,,,,,,1,3,,,,1,4,,,,,,1,1,1,7,,7,3,,,,1,,2,1,,,,3,2,,,,,,,1,,,,,,,1,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,1,1,,8,,,,,2,,,,,,,,52,14,7,29,,,5,,,1,,,,,,,,1,,,167
