Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75028,,,,5,1,4,7,,,7,11,1,3,7,,1,,,2,1,2,,19,1,21,6,,,,5,,9,1,,,,11,14,,,,,2,1,1,,,1,,1,,1,9,,4,3,,1,1,1,,2,,,,,,1,,,1,,,,2,,2,,27,3,,3,4,3,,,,,,171,61,20,79,,3,5,1,,,2,,,1,,2,,6,,,564
75029,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4
75032,,,,2,1,,1,,,2,2,,2,5,,,,,3,,2,1,6,1,9,7,,,,1,,3,,,,,6,13,,1,1,,2,,1,,,,,,,,6,1,,1,1,,1,,,4,1,1,,,,,,,,,,,1,,,,7,1,,2,4,7,,,,,,71,44,24,34,,1,6,,,1,3,,,,,,,2,,,296
75033,,,,6,,4,2,,,5,4,1,5,3,,5,,1,8,,,,4,,13,9,,,,2,,3,,1,,,10,9,,,,,12,,2,,,,,,,1,15,1,1,,,1,2,,,2,,,,1,2,1,1,,2,,,,1,,,,13,3,,8,4,8,,,,,,212,99,58,156,1,3,5,1,7,1,6,,,,,,4,6,,,735
75034,3,1,1,15,2,5,3,,1,11,17,1,3,8,,9,,2,22,,,2,6,3,12,9,,,,2,1,4,,1,,2,10,13,,,,,8,2,2,,,,,,,4,22,,1,2,2,,,,,5,,2,,,1,3,1,,,,,1,1,,,,27,4,,9,7,21,,,,,,299,160,90,173,1,8,13,,5,2,6,1,1,1,,1,3,15,,,1073
75035,1,,,20,1,2,5,,,8,20,3,7,10,,5,,2,30,,1,2,19,1,30,25,,,,7,,6,1,,,2,11,22,,,,,8,,1,,3,,,1,,1,17,,8,4,1,,3,,,3,,1,,1,1,5,1,,,,,2,3,,4,,49,7,,5,3,13,2,,,,,565,146,103,319,4,13,18,,4,5,10,,1,,,4,4,12,,,1596
75036,2,,,5,2,,2,,,5,7,1,3,4,1,,,,6,,,,4,,8,4,,,,2,,,,1,,,5,11,,,,,3,,,,,,,,,,8,,1,,1,,,,,2,,,,,,1,,,,,,,,,1,,7,1,,5,2,3,,,,,,215,42,49,136,,1,8,,2,,7,1,1,,,,,7,,,577
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75038,1,,,,,,2,,,,2,,2,1,,3,,,4,,,,8,,2,239,,,,1,1,3,,,,,,2,,,,,1,,,,,,,,,,2,,,11,,,,,,1,,,,,1,,,,,,,,,,10,,11,71,,1,2,10,,,,,,58,21,19,37,,,1,,2,,1,,,,,,,2,,,533
75039,,,,8,,1,1,,,9,5,,2,,,2,,1,3,1,1,1,1,,10,6,,,,2,1,,1,,,,2,5,,,,,2,,2,,,,,,,,3,,,1,2,,,1,1,1,,,,,1,,1,,,,,,1,,2,,4,,,4,1,4,,,,,,144,46,26,73,1,,5,,1,,2,,1,,,,3,1,,,397
