Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
76023,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,1,,,1,,,,,,,,,,,,,,14
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
76028,,,,,,,,,,3,,,3,2,,2,,,,,,,5,,15,5,,,,3,,3,1,2,,,6,4,,1,1,,4,,1,,,,,,,1,9,,3,1,2,,,,,3,,,,,,,2,,1,,,1,,1,1,,8,1,1,1,1,2,1,,,,,93,24,12,26,,1,4,,,1,2,,,1,,,1,1,,,267
76031,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,1,,,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,4,1,1,2,,,2,,,,,,,,,,,,,,22
76033,,,,,,,,,,,,,,1,,,,,,,,,1,,4,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,12,5,,2,,,,,,,,,,,,,1,1,,,37
76034,,,,5,2,5,1,,,2,8,1,4,6,,1,,,6,,,,4,,11,2,,,,1,,4,,1,,,5,7,,,,,6,,1,,1,,,,,2,14,,,1,1,,,,1,,,,,1,,1,1,1,,,,1,1,,1,,9,2,,4,4,14,,,,,,132,90,46,85,,,2,,2,,,2,,,,,,3,,,505
76035,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,11
76036,,,,,,,,,,,2,,,1,,,,,1,,,,1,,12,,,,,2,,2,,1,,,4,1,,,1,,1,,,,,,,,,,4,,,1,,,1,1,,,,,,,,,1,,,,,,,1,,,3,,,,,1,,,,,,30,9,2,14,,,3,,,,,,,,,2,,,,,102
76039,,,,1,,,,,,2,,1,4,3,,,,,1,,1,,6,4,10,2,,,,,,4,,,,,7,2,,,,,3,,,,,,,1,,,4,,,1,,,,,,2,,,,,,1,,,,,,,2,,,,11,,,,,,,,,,,65,18,7,27,,2,6,,1,1,1,,,,,1,,2,,,204
76040,,,,,,,,,,1,,,,2,,3,,,,1,,,3,,9,3,,,,1,,4,,,,,2,3,,,,,3,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,3,1,,,1,,,1,,,,45,4,,12,,,2,,1,,1,,,,,,,,1,,112
76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76043,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,2,1,2,,1,,,,,,,,,,,,,,,18
76044,,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,4,2,,4,,,,,,,,,,,,,,2,,,25
76048,2,1,,,,,1,,,,1,,,1,,,,,1,,1,,2,,4,2,,,,,,2,,,,,5,1,,,,,2,,,,,,,,,,4,,5,1,,,,,,2,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,16,8,1,6,,,2,,,,,,,,,1,,,,,77
76049,2,,,1,,,2,,,1,,,1,2,,,,1,3,,1,,2,,4,2,,,,2,,1,,,,,5,2,,,,,1,,,,,1,,1,,,7,,2,1,2,,,,,1,1,,,,,,2,,,,,1,,,,,3,,,,,,,1,,,,24,10,4,15,,,2,,1,,,,,,,1,,1,,,114
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,1,,,1,,1,,,,,,,,,,,,14
76051,2,,,4,,1,2,,,4,4,,3,4,,1,,3,4,1,2,4,27,,29,3,,,,4,,4,2,,,,14,8,,,,,1,,3,1,,1,,,,,6,,,4,,,,,,2,,,,,,,,,,,,,1,,1,,19,3,,5,2,,,,,,3,141,45,21,66,1,2,4,,4,,6,,,,,2,2,2,,,478
76052,,,,,,,1,,,,6,,1,3,,1,,,3,,2,,4,,15,5,,,,2,,3,,,,,7,12,,,1,,1,,1,,1,,,,,,7,,2,4,1,,,2,,,,,,,,,,,,,,1,1,,1,,10,1,,,1,1,,1,,,,62,21,5,43,,1,3,,3,1,4,,,,,1,1,2,,,249
76053,,,,,,1,,,,1,1,,,2,,,,,,,,,4,,6,,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,2,,1,,3,,,,,,,,,,,,,,,,,1,,,1,,7,,,,,1,,,,,,18,4,2,9,,,2,,,,1,,,,,,,,,,74
76054,,,,,,,,,,1,,,2,3,,,,,1,,,,4,,5,1,,,,1,,2,,,,1,2,2,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,1,,,,,,20,7,3,10,,,,,,,,,,,,1,1,,,,84
76055,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,6
76058,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,1,,1,,,,,4,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,2,,3,,,,,,,,,,,,,,,,,30
76059,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,7
76060,,,,,,,,,,1,,,,,,,,,1,,,1,2,,2,,,,,1,,1,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,9,2,9,,,3,,1,,,,,,,,,1,,,47
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,2,1,3,2,,,1,3,,1,4,,2,,,3,,1,,3,1,14,3,,,,2,1,5,,,,1,11,15,,,,,5,,,,,,,,,1,4,1,2,,1,1,,1,,2,,,,,4,1,,,,,,3,,,,,12,2,,,1,7,,1,,,,102,34,25,54,,,4,,3,2,3,,2,,,2,,4,,,363
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
76065,,,,1,,,,,,3,3,,,1,1,2,,1,,,1,,6,2,10,2,,,,,,2,1,,,,7,4,,,,,2,,2,,,,,,,,7,,2,2,,,,1,,,,,,,,,,,,,,,,,1,,8,1,,1,,1,,,,,,44,20,13,24,,,5,,3,1,5,,1,,,,,2,,,193
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3
76067,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,,,13
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76071,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,8
76073,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,6
76077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76078,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,5,1,,1,,,,,,,,,,,,,,,,,19
76082,,,,,,,,,,,1,,,1,,1,,,,,,1,1,,3,1,,,,,,,,,,,2,1,,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,2,1,,,1,1,,,1,,,,,,,,1,,,33
76084,,,,,,,,,,,,,1,,,,,,,,,,2,,2,,,,,,,,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,12,5,2,3,,,1,,,,1,,,,,,,,,,39
76085,,,,,,,,,,,,,,,,1,,1,,,,,1,,4,,,,,,,1,,,,,2,1,,,,,,,,,1,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,6,3,,3,,,3,,1,,,,,,,,,,,,35
76086,,,,,,,,,,,,,,,,,,,1,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,7,2,1,4,,,2,,,,,,,1,,,,,,,30
76087,,1,,,,,,,,,2,,1,2,,,,,,1,,,2,,7,5,,,,1,,,,,,,3,3,,,,,4,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,3,,,4,,3,,1,,,,26,12,5,22,,1,6,,,,1,,,,,,,2,,,122
76088,,,,,,,,,,1,,,,,,,,,,,1,,3,,5,3,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,10,4,,3,,,3,,,,,,,,,,1,,,,42
76089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76092,1,,,15,1,2,4,,,3,9,,3,7,,6,1,3,15,,1,,8,,20,10,,,,1,1,3,,,,,5,19,,,,,4,1,,,,,,,,2,13,,1,,,,1,,,8,,,,1,1,2,,1,1,,,1,,,1,,11,3,,8,7,37,2,,,,,241,167,90,136,,4,8,,1,2,1,,,,,,3,8,,,905
76093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76096,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
76102,,,,3,,1,1,,,,4,,,2,,1,,,1,,,,5,,2,,,,,,,1,,,,,1,5,,,,,,,,,,,,,,1,16,,,,,,,,,,,,,,1,,,,,,,,1,,,6,2,1,,4,,10,,3,,,,56,26,11,22,,1,1,,,,1,,1,,,1,,2,,,194
76103,,,,,,,,,,,,,,1,,,,,,,,1,3,,1,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,2,,3,,,,,,,1,,,,,,,,,,27
76104,,,,,,,1,,,,3,,1,1,,,,,,,1,,1,,3,1,,,,,,1,,1,,,1,1,,,,,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,26,4,3,10,,,1,,,,,,,,,1,,,,,69
76105,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6
76106,,,,,,,,,,,,,,1,,,,,,1,,,,,3,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,1,1,2,,,3,,,,,,,,,,,,,,22
76107,,,,,,,2,,,2,5,,5,2,,3,,,7,1,,,8,,6,1,,,,1,,,1,,,,3,1,,,,,1,1,1,,,,,,,,3,,1,,,,,,,2,,,,,1,1,,1,,,,2,1,,,,7,,,1,2,3,,,,,,65,39,12,36,,1,3,,,,2,,,,,,1,1,,,236
76108,,,,1,,,,,,1,,,2,1,,1,,,2,,,,1,,9,4,,,,1,1,,,1,,1,6,4,,,1,,2,,,,,,,,,2,3,,,1,,,,,,1,,,,,,,,,1,,,,1,,4,,5,,,1,2,2,,1,,,,46,13,3,24,,2,6,,1,,1,,,,,,1,,,,160
76109,,,,3,,4,,,,1,1,,,1,1,1,1,1,5,,,,1,,6,4,,,,,,1,1,,,,2,2,,,,,3,1,,,1,,,,,2,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,2,1,,2,2,1,1,,,,1,64,30,11,32,,1,2,,2,,1,,,,,1,1,3,,,205
76110,1,,,,,,,,,1,1,,2,,,,,,,,,,1,,2,3,,,,,,1,,,,,1,3,,,1,,,,,,,,,,,,,,1,2,1,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,17,8,3,11,,,3,,1,,3,,,,,1,2,4,,,79
76111,,,,,,1,,,,,2,,1,,,,,,,,,,6,1,2,1,,,,,,,1,1,,,3,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,2,,3,,,,,,,,,,,12,4,5,4,,,,,,1,,,,,,,,,,,55
76112,,,,,,,,,,,3,,1,1,,,,,1,,,,3,,7,2,,,,1,,1,,,,,6,3,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,,,,,,,,,1,,,,6,1,,,,,,1,,,,22,2,1,8,,,1,,,,,,,,,,,,,,78
76114,,,,,,,,,,,1,,,3,,1,,,,,,,,1,2,,,,,3,,,,1,,,4,,,,,,1,,,,,,,,,,,,2,,1,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,2,,,,,,13,9,,6,,,1,,1,,2,,,,,,,,,,58
76115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,8
76116,1,,,3,,,,,,1,1,,2,,,1,,,4,,,,6,,12,2,,,,2,,4,,,,,3,3,,1,,,,,1,,,,,,,,2,,,,,,1,,,2,,,,,1,,,,,,,,2,,2,,9,,,,,2,,,,,,30,12,7,18,,1,2,1,2,,1,,,,,1,1,1,,,145
76117,,,,,,,,,,,1,,,2,,,,,,,,,1,,1,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,5,,,,,,,,,,,9,2,2,2,,,,,,,,,,,,,,,,,33
76118,,,,,,,,,,,1,,,1,,,,1,1,1,,,2,,8,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,23,4,,4,,,2,,,,1,,,,,,,,,,59
76119,,,,,,,,,,1,1,,1,,,2,,,,,,,,,3,,,,,,,1,,,,,4,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,2,,,,,,,,,,1,,1,,,,,24
76120,,,,,,,,,,1,,1,,,,3,,,,,,,1,,4,1,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,1,,,,,,,25,4,1,9,,1,,,1,,,,,,,,,,,,66
76123,1,,,,,,,,,3,1,1,,1,,1,,,5,1,,1,5,,11,2,,,,1,,,,,,1,1,1,,,,,2,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,5,,,,1,1,,,,,,51,11,6,18,,,2,,,,2,,,,,,,,,,142
76126,1,,,2,,1,,,,1,1,1,1,1,,,,1,2,,,,2,1,3,2,,,1,,,3,1,1,,,2,3,,1,,,,,,,,,,2,,2,3,,,,1,,1,,,,1,,,,,,1,,,,,,1,2,1,,4,,,1,,6,,,,,,45,24,11,36,,1,,,1,,2,1,,,,,1,3,,,183
76127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2
76129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76131,,,,6,,,,,,3,3,,1,1,,,,1,3,1,,,7,,9,2,,,,2,,6,,,,,4,6,,,,,2,,,,,,,,,,7,1,3,1,,,,,,2,,,,,1,1,2,,2,,,,,,1,,14,1,,1,,1,,,,,,84,14,2,43,,1,5,,1,1,,,,,,,1,1,,,248
76132,,,,1,,,,,,3,1,,1,3,,,,,7,,,,1,1,8,2,,,,,,,,1,,,5,3,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,1,,1,1,,1,,9,1,,1,1,2,,1,,,1,41,23,11,24,,,3,,2,1,1,,,,,1,1,2,,,170
76133,,,,1,,,,,,,1,,1,2,,1,,1,,,,,8,,16,4,,,,,,3,,,,1,5,2,,,1,,,,2,,,,,1,,,1,1,2,3,,,1,,,1,,,,,,,,,,,,,1,1,,,9,,,,,,,2,,,,21,8,,11,,2,5,,,1,,,,,,,,1,,,121
76134,,,,,,,,,,,,,,,,,,,,,,,2,,4,1,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,8,4,2,1,,,,,,,,,,,,,,,,,29
76135,,,,1,,,,,,2,,,1,,,,,,1,,,,3,1,3,2,,,,1,,,,1,,1,4,2,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,1,1,,,,,12,4,2,9,,2,1,,,,1,,,,,1,,,,,63
76137,1,,,1,,,,,,2,1,,,2,,1,,1,1,,1,,7,,14,5,,,,2,,4,,1,,1,6,6,,,,,3,,,1,,,,,,,5,1,1,3,1,,,,,,1,,,,1,,,,,,,,,,1,,11,1,,,1,,,1,,,,65,17,8,31,,,5,,3,,3,,,,,,,1,,,222
76140,,,,,,,,,,1,1,1,1,2,,,,,1,,1,,1,,3,2,,,,,,1,,,,,4,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,1,,,,13,6,,3,,,1,,,,,,,,,,,,,,53
76148,,,,,,,,,,,,,1,1,,,,,,,,1,1,,3,1,,,,1,,4,1,,,,1,2,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,1,,,,14,4,1,,,2,,,,,,,,,,,,,,,47
76155,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,9,1,,1,,,,,,,,,,,,,,,,,17
76161,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,142
76164,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,10
76177,,,,2,1,,,,,,3,,2,1,,,,,1,,,,3,,10,1,,,,2,,1,,,,,3,4,,,,,1,,1,,1,,,,,,4,,2,,,,,1,,,,,,,,,2,,,,,,,,,,3,,,,1,,,1,,,,43,12,5,15,,,1,,,,,,,,,1,,1,,,129
76179,,,,2,,,,,,5,5,,1,1,,,,,3,1,,,7,1,13,,,,,2,,3,,2,,,7,4,,,,,4,,3,,,1,,,,,8,,,2,2,,,,,,,,,,,,,,,,,,1,,1,,12,,,,1,2,,,,,,80,28,9,31,,3,5,,2,,4,,,,,3,3,3,,,265
76180,,,,1,,,1,,,,2,,2,,,,,,,,,2,5,,12,2,,,,,,4,,,,2,1,,,,1,,1,,1,1,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,,,,42,5,4,21,,1,4,,,,,,,,,,1,,,,127
76182,1,,,,,,1,,,2,4,,1,,,2,,,1,1,,1,5,1,13,3,,,,,,2,,,,,4,2,,,,,4,,1,,,,,,,,4,,,,2,,2,,1,,,,,,,,,,,,,,,1,2,,8,,,1,2,,,1,,,,54,19,7,18,,,5,,,,3,,,1,,,,3,,,183
76185,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
76187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76201,,,,,,,,,,1,,,,,,,,,,,,,,,5,1,,,,1,,1,,,,,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,1,,5,,,,,,,,,,,11,3,1,6,,2,4,,1,,1,,,,,,,1,,,53
76205,,,,,,,,,,,1,,1,1,,,,,1,,,,4,1,,2,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,7,,,,,2,,,,,,11,3,1,8,,,3,,1,,,,,,,1,,,,,55
76207,,,,1,,,,,,1,1,,1,2,,,,1,1,,,,3,1,7,2,,,,1,,1,,,,,3,,,,,,1,,,,,,,,,1,1,,1,,2,,,,,,,,,,,,,1,,,,,,,1,,6,,,,2,1,,,,,,16,4,5,12,,1,1,,1,1,,,2,,,1,1,5,,,93
76208,,,,1,,,,,,,3,,,,,,,,,,,,2,,5,1,,,,,,,,,1,,5,6,,,,,3,,,,,,,1,,,5,,1,,,,2,,,2,,,,,,,,,,,,,,,,,6,1,,,1,,,,,,,37,11,1,11,,,1,,4,,,,,,,1,,,,,112
76209,1,,,,,,,,,1,,,2,1,,,,,1,,,1,5,1,8,1,,,,,,,,,,,4,1,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,13,1,,,,,,1,,,,17,4,,6,,,,,,1,,,,,,,,,,,74
