Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
75943,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75946,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75949,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
75951,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,1,1,,,,,,,,,,,,,17
75954,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
75961,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,,,,,,9
75964,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,,2,,1,2,,,,,,,,,,,,,12
75965,,,,,,,,,,,,,,2,,,,,,,,1,,4,1,,,,,,2,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,5,2,3,4,,,1,,1,,,,,,,,1,,,35
75966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2
75974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75975,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75980,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
76001,,,,1,,,,,,1,,,,1,1,,,3,1,2,,9,,8,,,,,1,,2,,,,3,,,,,,2,,,,,,,,,,4,,,2,,,,1,,,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,33,8,5,22,,,3,,1,,,,,,,,,,,124
76002,,,,1,,,,,,2,1,,1,,,,,,,,,4,,10,2,,,,,,1,,,1,3,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,1,,,,6,,,1,,1,1,1,,,,42,4,3,17,,,4,,1,,1,,,,,,,,,115
76004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76005,,,,,,,1,,,,2,,,1,2,,1,,,1,,3,,2,3,,,,,,,,,,1,1,,,1,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,1,,4,1,,,,,,,,,,53,19,5,32,,,1,,2,,,,,,,2,,,,143
76006,,,,,,,1,,,2,,,,3,2,,,1,,,,4,,6,3,,,,,,1,1,,,3,3,,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,34,12,7,12,,1,1,,,,2,,,,,,,,,107
76008,3,,,1,,1,,,,,1,,,1,,,2,1,,,,2,1,8,6,,,,1,,,1,,,4,2,,,1,,3,,,,,,,,,1,2,,2,,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,50,21,5,22,,,4,,1,1,2,,,,,1,,4,,159
76009,,,,,,,,,,1,,,,,1,,,,,,,3,,4,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,3,2,2,,,1,,,,,,,,,,,,,34
76010,,,,,,,,,,,1,,2,,1,,,1,,,,,1,3,2,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,15,7,3,6,,,2,,1,,,,,,,,,,,55
76011,,,,,,,,,,,1,,,,,,,,,,,1,,8,,,,,1,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,14,5,4,3,,,1,,,,,,,,,,,,,46
76012,1,,,,,1,,,,,3,,5,3,1,,2,2,1,1,1,5,1,8,,,,,1,,3,,,,7,1,,,,,3,,,,,,,,,,4,,1,2,,,,,,,,,,,1,1,,,,,,,1,,,,7,,,,,1,,,,,,35,17,6,11,,,4,,2,1,2,,,,,,1,2,,149
76013,,,,,,,,,,1,1,,2,5,,,,2,,,,9,2,5,,,,,3,,2,,,1,2,1,,,,,1,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,4,1,,1,,1,,,,,,23,9,4,10,,,2,,2,,2,,,,,1,,,,103
76014,,,,,,,,,,,,,,2,,,,,,,,4,,5,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,2,1,4,,1,1,,,,,,,,,,,,,40
76015,,,,,,1,,,,,,,,,1,,,,,,,3,,2,1,,,,1,,1,,,,1,2,,,,,1,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,9,1,1,5,,,1,,,,,,,,,,,,,40
76016,1,,,,,,,,,2,2,,,1,,,1,2,,1,,6,1,17,1,,,,4,,1,,,,4,3,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,8,,,,,3,,1,,,,37,25,4,22,,,7,,1,1,1,,,,,1,,1,,164
76017,2,,,,,,1,,,3,1,,1,1,,,,2,,1,,3,,12,5,,,,2,,4,,,,6,3,,,,,1,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,1,,8,,,,1,2,,,,,,33,12,6,13,,,3,,1,1,,,,,,,,,,133
76018,,,,,,,,,,1,1,,,,1,,,,,,,1,1,10,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,22,6,2,7,,,1,,,,,,,,,,,,,64
76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76020,,,,,,,,,,1,,,,4,,,,1,,,,1,,8,1,,,,1,,1,,,,3,,,,,,,,,,,,,,,,2,,1,,,,1,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,11,7,5,10,,,2,,,,2,,,,,,,,,67
76021,,,1,1,,1,1,,,3,2,,2,4,,,,1,,,,10,1,16,3,,,,2,,2,,,1,2,,,,,,3,,,,,,,,,,5,,1,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,13,1,,,,,,1,,,,46,15,4,22,,1,2,,3,,1,,,,,,1,,,178
76022,,,,,,,,,,,2,,,,,,1,2,,,,1,,6,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,1,,,,,8,2,,,,,3,,,,,,,,,,,,,39
76023,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,11
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
76028,,,,,,,,,,2,,,3,2,3,,,,,,,5,,14,3,,,,3,,2,1,,,5,3,,1,1,,4,,,,,,,,,1,7,1,,1,2,,,,,3,,,,,,,2,,1,,,1,,1,1,,8,1,1,1,1,2,1,,,,,85,23,12,25,,1,4,,,1,1,,,1,,,1,1,,243
76031,,,,,,,,,,,,,1,,,,,1,,,,,,2,1,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,3,1,1,2,,,2,,,,,,,,,,,,,21
76033,,,,,,,,,,,,,,1,,,,,,,,1,,4,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,11,5,,2,,,,,,,,,,,,,,1,,33
76034,,,,5,1,3,1,,,2,8,1,4,5,1,,,6,,,,6,,11,2,,,,1,,4,,,,5,6,,,,,6,,,,1,,,,,2,14,,,1,1,,,,1,,,,,1,,1,,1,,,,1,1,,1,,8,2,,2,5,10,,,,,,126,87,48,80,,,2,,2,,,,,,,,,1,,477
76035,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,10
76036,,,,,,,,,,,1,,,1,,,,1,,,,2,,11,,,,,2,,2,,,,3,1,,,1,,1,,,,,,,,,,3,,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,3,,,,,1,,,,,,26,8,3,11,,,3,,,,,,,,,2,,,,91
76039,,,,1,,,,,,2,,1,4,4,,,,1,,1,,7,4,10,2,,,,,,4,,,,7,2,,,,,3,,,,,,,1,,,4,,,1,,,,,,2,,,,,,,,,,,,,2,,,,10,,,,,,,,,,,58,18,5,26,,1,3,,1,1,1,,,,,1,,,,188
76040,,,,,,,,,,1,,,,2,4,,,,1,,,3,,9,3,,,,1,,5,,,,2,1,,,,,3,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,3,,,,1,,,1,,,,38,4,,11,,,2,,1,,1,,,,,,,,,101
76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76043,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,2,1,2,,1,,,,,,,,,,,,,,16
76044,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,3,2,,4,,,,,,,,,,,,,,1,,22
76048,2,1,,,,,1,,,,1,,,1,,,,1,,1,,2,,4,2,,,,,,2,,,,5,1,,,,,1,,,,,,,,,,4,,2,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,2,,,,,,12,6,1,5,,,2,,,,,,,,,,,1,,65
76049,2,,,1,,,,,,1,,,1,2,,,1,4,,1,,2,,4,2,,,,1,,1,,,,5,2,,,,,2,,,,,1,,1,,,6,,1,1,2,,,,,1,1,,,,,,2,,,,,1,,,,,2,,,,,,,2,,,,20,9,4,14,,,2,,1,,,,,,,1,,2,,106
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,1,,,1,,1,,,,,,,,,,,13
76051,2,,,5,,1,1,,,4,4,,4,4,1,,3,4,1,2,,27,,28,2,,,,3,,4,2,,,12,6,,,,,2,,3,1,,1,,,,,6,,,4,,,,,,2,,,,,,,,,,,,,1,,1,,19,2,,5,2,,,,,,2,135,43,19,57,1,2,4,,4,,6,,,,,2,,3,,447
76052,,,,,,,1,,,,4,,2,4,,,,2,,2,,2,,16,4,,,,2,,2,,,,7,10,,,1,,1,,1,,1,,,,,,5,,1,3,1,,,2,,,,,,,,,,,,,,1,1,,1,,8,,,,1,1,,1,,,,54,19,4,41,,1,3,,2,1,4,,,,,,1,2,,220
76053,,,,,,1,,,,1,1,,1,2,,,,,,,,3,,6,,,,,3,,1,,,,1,1,,,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,1,,,1,,5,,,,,1,,,,,,17,5,1,7,,,2,,,,1,,,,,,,,,67
76054,,,,,,,,,,1,,,2,4,,,,,,,,5,,5,1,,,,1,,2,,,1,2,1,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,20,7,2,10,,,,,,,,,,,,1,1,,,80
76055,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5
76058,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,1,,1,,,,4,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,8,2,,3,,,,,,,,,,,,,,,,33
76059,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,6
76060,,,,,,,,,,1,,,,,,,,1,,,1,2,,2,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,8,2,8,,,3,,1,,,,,,,,,1,,42
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,2,,2,2,,,1,3,,1,4,2,,,4,,1,,4,1,14,2,,,,2,1,5,,,1,11,11,,,,,5,,,,,,,,,1,2,1,1,,,1,,1,,2,,,,,4,,,,,,,2,,,,,11,1,,,1,5,,,,,,91,32,22,49,,,4,,4,2,3,,2,,,2,,3,,326
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
76065,,,,,,,,,,3,4,,,1,2,,1,,,1,,7,2,9,2,,,,,,2,1,,,7,3,,,,,2,,2,,,,,,,,7,,2,2,,,,1,,,,,,,,,,,,,,,,,2,,9,1,,2,,1,,,,,,40,19,13,21,,,6,,3,,5,,1,,,,,,,184
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3
76067,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,,12
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76071,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,9
76073,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,6
76077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76078,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,6,2,,1,,,,,,,,,,,,,,,,20
76082,,,,,,,,,,,1,,,1,1,,,,,,1,1,,3,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,2,1,,,1,1,,,,,,,,,,,,,30
76084,,,,,,,,,,,,,1,,,,,,,,,2,,2,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,12,5,2,2,,,1,,,,1,,,,,,,,,36
76085,,,,,,,,,,,,,,,1,,1,,,,,1,,4,,,,,1,,1,,,,2,,,,,,,,,,1,,,,,,3,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,6,3,,4,,,3,,1,,,,,,,,,,,37
76086,,,,,,,,,,,,,,,,,,1,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,7,2,1,1,,,2,,,,,,,,,,,,,25
76087,,1,,,,,,,,,2,,1,2,,,,,1,,,2,,6,5,,,,1,,,,,,3,1,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,5,,3,,1,,,,21,12,5,17,,1,5,,,,1,,,,,,,1,,105
76088,,,,,,,,,,1,,,,,,,,,,1,,2,,8,2,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,9,4,,3,,,3,,,,,,,,,,1,,,42
76089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76092,2,,,13,1,3,5,,1,3,9,,3,7,6,,3,14,,1,,7,,19,10,,,,1,1,3,,,,5,14,,,,,4,,,,,,,,,1,11,,,,,,1,,,7,,,,1,1,,,1,1,,,1,,,2,,13,2,,10,9,38,1,,,,,237,167,89,124,,3,8,,1,2,1,,,,,,2,7,,876
76093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76096,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
76102,,,,3,,1,,,,,4,,,2,2,,,1,,,,5,,2,,,,,,,1,,,,1,3,,,,,,,,,,,,,,1,12,,,,,,,,,1,,,,,1,,,,,,,,1,,,6,2,,,4,,10,,3,,,,52,26,9,21,,1,1,,,,,,1,,,,,2,,179
76103,,,,,,,,,,,,,,1,,,1,,,,1,3,,1,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,2,,3,,,,,,,1,,,,,,,,,29
76104,,,,,,,1,,,,3,,1,2,,,,,,1,,1,,2,1,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,23,4,2,9,,,1,,,,,,,,,1,,,,63
76105,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5
76106,,,,,,,,,,,,,,1,,,1,,1,,,,,2,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,1,2,,,3,,,,,,,,,,,,,21
76107,,,,,,1,1,,,2,5,,6,2,3,,1,4,1,,,8,,7,1,,,,1,,,1,,,3,1,,,,,1,1,1,,,,,,,,4,,,,,,,,,2,,,,,1,1,,,,,,2,1,,,,7,,,1,2,3,,,,,,65,40,14,31,,1,3,,,,2,,,,,,1,1,,233
76108,,,,1,,,,,,1,,,2,1,1,,,3,,,,1,,8,3,,,,1,1,,,,1,6,3,,,1,,2,,,,,,,,,2,3,,,1,,,,,,2,,,,,,,,,1,,,,1,,4,,5,,,1,2,1,,1,,,,44,14,3,22,,2,6,,1,,1,,,,,,1,,,154
76109,,,,2,,1,,,,2,1,,,1,1,,1,6,,,,1,,6,4,,,,,,1,1,,,2,2,,,,,3,1,,,,,,,,2,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,2,1,,1,1,1,,,,,1,68,30,11,31,,1,2,,2,,1,,,,,1,,3,,199
76110,1,,,,,,,,,,1,,1,,,,,1,,,,1,,1,3,,,,,,1,,,,1,2,,,1,,,,,,1,,,,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,18,7,3,10,,,3,,1,,3,,,,,1,2,3,,74
76111,,,,,,1,,,,,1,,1,,,,,,,,,6,1,2,1,,,,,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,3,,,,,,,,,,,12,3,5,4,,,,,,1,,,,,,,,,,49
76112,,,,,,,,,,,3,,1,1,,,,1,,,,3,,7,3,,,,1,,,,,,4,2,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,2,,,,7,1,,,,,,1,,,,20,2,1,7,,,1,,,,,,,,,,,,,73
76114,,,,,,,,,,,1,,,3,1,,,,,,,,,2,,,,,3,,,,,,3,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,12,10,,6,,,1,,1,,2,,,,,,,,,53
76115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,7
76116,1,,,1,,,,,,1,1,,3,,1,,,5,,,,6,,12,2,,,,2,,3,,,,3,2,,1,,,,,1,,,,,,,,1,,,,,,1,,,2,,,,,1,,,,,,,,2,,1,,9,,,2,,2,,,,,,27,12,7,18,,,2,1,1,,1,,,,,1,1,1,,138
76117,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,5,,,,,,,,,,,9,2,2,2,,,,,,,,,,,,,,,,31
