DATE,NGMP19100
1/1/2001,227080.475
1/1/2002,236415.902
1/1/2003,243606.207
1/1/2004,263007.684
1/1/2005,284629.814
1/1/2006,314651.882
1/1/2007,332946.793
1/1/2008,343969.797
1/1/2009,327718.816
1/1/2010,340179.679
1/1/2011,359386.458
1/1/2012,377846.407
1/1/2013,396428.072
1/1/2014,417730.688
1/1/2015,438084.248
1/1/2016,456712.675
1/1/2017,480906.203
1/1/2018,511962.537
1/1/2019,540633.961
1/1/2020,534807.251
