,Fuel Type Code,City,State,ZIP,Groups With Access Code,Latitude,Longitude
32646,ELEC,Dallas,TX,75201,Public,32.781665,-96.791743
32667,ELEC,Dallas,TX,75201,Public,32.785896,-96.794768
32668,ELEC,Dallas,TX,75211,Public,32.729056,-96.900413
32939,ELEC,Dallas,TX,75235,Public,32.837405,-96.868353
32988,ELEC,Dallas,TX,75235,Public,32.829916,-96.84296
33207,ELEC,Dallas,TX,75235,Public,32.842029,-96.848096
33249,ELEC,Dallas,TX,75201,Public,32.787218,-96.797536
34811,ELEC,Dallas,TX,75209,Public,32.834384,-96.828515
35648,ELEC,Dallas,TX,75235,Public,32.843425,-96.8494
35649,ELEC,Dallas,TX,75235,Public,32.843292,-96.849226
35650,ELEC,Dallas,TX,75235,Public,32.843432,-96.849392
36201,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.787137,-96.798721
36202,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.786877,-96.798746
36339,ELEC,Dallas,TX,75201,Public,32.789545,-96.80631
36340,ELEC,Dallas,TX,75201,Public,32.789563,-96.80627
36341,ELEC,Dallas,TX,75201,Public,32.78914,-96.806769
36342,ELEC,Dallas,TX,75201,Public,32.789123,-96.806792
36524,ELEC,Dallas,TX,75201,Public,32.797466,-96.811703
37237,ELEC,Dallas,TX,75202,TEMPORARILY UNAVAILABLE (Public),32.780907,-96.808815
37238,ELEC,Dallas,TX,75202,TEMPORARILY UNAVAILABLE (Public),32.78091,-96.80876
37239,ELEC,Dallas,TX,75202,TEMPORARILY UNAVAILABLE (Public),32.78091,-96.808754
37304,ELEC,Dallas,TX,75201,Public,32.790656,-96.80298
41126,ELEC,Dallas,TX,75235,Public,32.843562,-96.847644
41127,ELEC,Dallas,TX,75235,Public,32.843614,-96.847635
41128,ELEC,Dallas,TX,75235,Public,32.843498,-96.847648
41129,ELEC,Dallas,TX,75235,Public,32.843662,-96.84763
41130,ELEC,Dallas,TX,75235,Public,32.843708,-96.847624
41162,ELEC,Dallas,TX,75206,Public,32.84195,-96.763207
41182,ELEC,Dallas,TX,75201,Public,32.791356,-96.804468
41188,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.795311,-96.80172
41200,ELEC,Dallas,TX,75201,Public,32.795617,-96.801739
41208,ELEC,Dallas,TX,75201,Public,32.797275,-96.813839
41289,ELEC,Dallas,TX,75201,Public,32.77688,-96.79158
42025,ELEC,Dallas,TX,75231,Public,32.892139,-96.766529
42026,ELEC,Dallas,TX,75231,Public,32.892294,-96.766526
42732,ELEC,Dallas,TX,75252,TEMPORARILY UNAVAILABLE (Public),32.987966,-96.757311
43312,ELEC,Dallas,TX,75254,Public,32.946167,-96.82486
44117,ELEC,Dallas,TX,75216,Private - Government only,32.694815,-96.789759
44629,ELEC,Dallas,TX,75244,Public,32.9399677,-96.8235845
46000,ELEC,Dallas,TX,75206,Public,32.841996,-96.763207
46601,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.79242,-96.811822
46650,ELEC,Dallas,TX,75226,Public,32.782826,-96.784387
46651,ELEC,Dallas,TX,75226,Public,32.782844,-96.784296
47666,ELEC,Dallas,TX,75235,Public,32.815584,-96.831592
48204,ELEC,Dallas,TX,75201,Public,32.792057,-96.795137
48205,ELEC,Dallas,TX,75201,Public,32.791967,-96.795126
48318,ELEC,Dallas,TX,75201,Public,32.79873,-96.80664
48319,ELEC,Dallas,TX,75201,Public,32.798687,-96.80671
48533,ELEC,Dallas,TX,75252,Public,32.999152,-96.772665
48621,ELEC,Dallas,TX,75201,Public,32.7889366,-96.7994003
48667,ELEC,Dallas,TX,75205,TEMPORARILY UNAVAILABLE (Public),32.818181,-96.788766
48668,ELEC,Dallas,TX,75205,TEMPORARILY UNAVAILABLE (Public),32.818574,-96.78852
48992,ELEC,Dallas,TX,75205,Public,32.8264014,-96.7860831
